mode,n_obs,obs_species,eval_species,nrmse,in_obs
rollout,8,"A,B,C,D,E,F,G,M",M,4.858528086515435e-07,True
rollout,9,"A,B,C,D,E,F,G,H,M",A,3.4736145607894287e-05,True
rollout,9,"A,B,C,D,E,F,G,H,M",B,2.8045753424521536e-05,True
rollout,9,"A,B,C,D,E,F,G,H,M",C,6.260651571210474e-05,True
rollout,9,"A,B,C,D,E,F,G,H,M",D,5.3737257985631004e-05,True
rollout,9,"A,B,C,D,E,F,G,H,M",E,0.0012655231403186917,True
rollout,9,"A,B,C,D,E,F,G,H,M",F,0.0015156582230702043,True
rollout,9,"A,B,C,D,E,F,G,H,M",G,0.0005455116042867303,True
rollout,9,"A,B,C,D,E,F,G,H,M",H,0.001106034149415791,True
rollout,9,"A,B,C,D,E,F,G,H,M",I,0.07424219697713852,False
rollout,9,"A,B,C,D,E,F,G,H,M",J,0.054319243878126144,False
rollout,9,"A,B,C,D,E,F,G,H,M",K,0.08870542794466019,False
rollout,9,"A,B,C,D,E,F,G,H,M",L,0.054023079574108124,False
rollout,9,"A,B,C,D,E,F,G,H,M",M,4.903002945866319e-07,True
rollout,10,"A,B,C,D,E,F,G,H,I,M",A,0.00014873950567562133,True
rollout,10,"A,B,C,D,E,F,G,H,I,M",B,7.584443665109575e-05,True
rollout,10,"A,B,C,D,E,F,G,H,I,M",C,7.232293137349188e-05,True
rollout,10,"A,B,C,D,E,F,G,H,I,M",D,0.00010116233897861093,True
rollout,10,"A,B,C,D,E,F,G,H,I,M",E,0.0012698405189439654,True
rollout,10,"A,B,C,D,E,F,G,H,I,M",F,0.0015105847269296646,True
rollout,10,"A,B,C,D,E,F,G,H,I,M",G,0.0005716552841477096,True
rollout,10,"A,B,C,D,E,F,G,H,I,M",H,0.0011097805108875036,True
rollout,10,"A,B,C,D,E,F,G,H,I,M",I,0.00010978519276250154,True
rollout,10,"A,B,C,D,E,F,G,H,I,M",J,0.04577696695923805,False
rollout,10,"A,B,C,D,E,F,G,H,I,M",K,0.07796227931976318,False
rollout,10,"A,B,C,D,E,F,G,H,I,M",L,0.05797392502427101,False
rollout,10,"A,B,C,D,E,F,G,H,I,M",M,4.6058482894295594e-07,True
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",A,0.000287865026621148,True
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",B,0.00014398206258192658,True
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",C,9.571237751515582e-05,True
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",D,0.00018779606034513563,True
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",E,0.001280456781387329,True
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",F,0.0015108317602425814,True
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",G,0.000549544463865459,True
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",H,0.0011134529486298561,True
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",I,0.0003376598469913006,True
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",J,0.00037001786404289305,True
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",K,0.07915554195642471,False
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",L,0.05745132640004158,False
rollout,11,"A,B,C,D,E,F,G,H,I,J,M",M,3.428730792620627e-07,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",A,0.00022454632562585175,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",B,0.00011195733532076702,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",C,8.498081297148019e-05,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",D,0.0001471123832743615,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",E,0.0012778348755091429,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",F,0.00151065771933645,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",G,0.0005481423577293754,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",H,0.0011107062455266714,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",I,0.0003359811962582171,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",J,0.0003835532406810671,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",K,7.477596227545291e-06,True
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",L,0.00018522223399486393,False
rollout,12,"A,B,C,D,E,F,G,H,I,J,K,M",M,1.7359042203679564e-06,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",A,0.00021647699759341776,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",B,0.00010814963752636686,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",C,8.226656791521236e-05,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",D,0.0001381398760713637,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",E,0.001275265240110457,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",F,0.0015104924095794559,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",G,0.0005474779172800481,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",H,0.0011093892389908433,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",I,0.00029445067048072815,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",J,0.00036856476799584925,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",K,4.9681009841151536e-05,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",L,6.497236608993262e-05,True
rollout,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",M,6.680681690340862e-05,True
