sample_idx,os_mm,ro_mm,os_pm,ro_pm
612,nan,nan,0.006163,0.359017
613,0.042838,0.021590,0.004600,0.118452
614,0.059874,0.041103,0.004299,0.563567
615,0.038481,0.023847,0.005239,0.463824
616,0.064922,0.044343,0.004166,0.431131
617,0.035302,0.030496,0.004230,0.508411
618,0.037514,0.023157,0.005711,0.401110
619,0.046944,0.027723,0.003599,0.519025
620,nan,nan,0.003786,0.546795
621,0.045000,0.030080,0.004370,0.503897
622,0.041172,0.026526,0.005821,0.112418
623,0.017205,0.005192,0.004406,0.163173
624,0.012122,0.005824,0.003927,0.449324
625,0.021899,0.011347,0.003588,0.497792
626,0.010337,0.004279,0.003215,0.523254
627,0.034015,0.019513,0.011395,0.094630
628,0.010341,0.004062,0.036551,67.753319
629,0.041822,0.025506,0.008861,0.027574
630,0.031969,0.014674,0.007517,0.199031
631,0.012222,0.004897,0.004743,0.234903
632,0.006272,0.002099,0.007090,0.579256
633,0.030507,0.020551,0.004675,0.014416
634,0.019584,0.006640,0.004389,0.112041
635,0.024946,0.015336,0.003401,0.445075
636,0.017445,0.006743,0.004525,0.049047
637,0.025205,0.017020,0.004471,0.036179
638,0.014565,0.006904,0.003601,0.257176
639,0.020486,0.008879,0.004086,0.306138
640,0.024199,0.014129,0.004286,0.013424
641,0.021207,0.014757,0.003807,0.162682
642,0.012922,0.009710,0.006671,0.065150
643,0.007613,0.001308,0.004004,0.139596
644,0.026757,0.012363,0.003959,0.473305
645,0.018079,0.005404,0.004812,0.026304
646,0.020307,0.008334,0.005131,0.016818
647,0.011397,0.002822,0.003527,0.138950
648,0.009392,0.002976,0.003503,0.081283
649,0.008188,0.001630,0.003661,0.036118
650,0.007393,0.002135,0.004171,0.070965
651,0.006638,0.001725,0.004860,0.196127
652,0.006505,0.002397,0.006293,0.560522
653,0.006325,0.002023,0.006622,0.526722
654,0.021351,0.013030,0.003343,0.491230
655,0.013265,0.003036,0.003639,0.309612
656,0.016455,0.010022,0.003487,0.185266
657,0.021950,0.013936,0.004101,0.187947
658,0.018915,0.012962,0.003335,0.151629
659,0.020905,0.011417,0.003308,0.462207
660,0.015369,0.005981,0.003317,0.302940
661,0.018057,0.008706,0.003362,0.185942
662,0.018460,0.011802,0.003772,0.142413
663,0.026138,0.016890,0.004169,0.302397
664,0.037086,0.025580,0.003892,0.506691
665,0.020812,0.013644,0.004336,0.102166
666,0.022877,0.011186,0.004676,0.279309
667,0.030943,0.015476,0.004955,0.009577
668,0.009844,0.004184,0.012488,0.810476
