scaffold,P,sample_idx,species,nrmse
reduced2,2,652,M,1.0452090211202238
reduced2,2,346,A,0.0924614613228053
reduced2,2,346,M,0.9610839628409346
reduced2,2,381,A,0.09258558504983772
reduced2,2,381,M,0.8514291602648638
reduced2,2,493,A,0.0926053099184216
reduced2,2,493,M,0.8522898797902689
reduced2,2,708,A,0.0794035681654296
reduced2,2,708,M,1.0815039412631804
reduced2,2,513,A,0.06365280025209857
reduced2,2,513,M,0.7728064263813874
reduced2,2,563,A,0.1457012232720289
reduced2,2,563,M,0.9015118062468818
reduced2,2,857,A,0.15729484435496757
reduced2,2,857,M,0.6041744206677312
reduced2,2,781,A,0.09939373482600271
reduced2,2,781,M,1.007752964142916
reduced2,2,135,A,0.10002676091711309
reduced2,2,135,M,0.9002630728510533
reduced2,2,232,A,0.11782266882166398
reduced2,2,232,M,0.9268960792231943
reduced2,2,931,A,0.07434699576600555
reduced2,2,931,M,0.9185522000222238
reduced2,2,426,A,0.08183186380844905
reduced2,2,426,M,0.9633854570462597
reduced2,2,660,A,0.10547860005137875
reduced2,2,660,M,0.8839895231296686
reduced2,2,995,A,0.08792049575575937
reduced2,2,995,M,0.7333287713766976
reduced2,2,36,A,0.10263081520260109
reduced2,2,36,M,0.8741258330761272
reduced2,2,545,A,0.1221438620053438
reduced2,2,545,M,0.8274206638652292
reduced2,2,116,A,0.12357784514806394
reduced2,2,116,M,0.789473646808074
reduced2,2,434,A,0.11876485071207028
reduced2,2,434,M,0.8852879450938552
reduced2,2,390,A,0.09763182745252826
reduced2,2,390,M,0.787026583618042
reduced2,2,751,A,0.13121818389905773
reduced2,2,751,M,0.9539557958264929
reduced3,3,978,A,0.0575486024532957
reduced3,3,978,M,0.8434971548650726
reduced3,3,933,A,0.03671877086650385
reduced3,3,933,M,0.9010972118277051
reduced3,3,859,A,0.07086106750234909
reduced3,3,859,M,0.8315738343897933
reduced3,3,916,A,22260886.430740356
reduced3,3,916,M,0.7907934319182686
reduced3,3,127,A,0.0451630526649101
reduced3,3,127,M,0.9077916223895179
reduced3,3,608,A,0.1190069257944735
reduced3,3,608,M,0.9750292990947113
reduced3,3,856,A,0.0925463978715207
reduced3,3,856,M,0.8628278770469437
reduced3,3,260,A,0.05071567117940069
reduced3,3,260,M,1.0015013078230501
reduced3,3,147,A,0.08786717227119399
reduced3,3,147,M,1.170037776202015
reduced3,3,810,A,0.07240218828581137
reduced3,3,810,M,0.9908421129775621
reduced3,3,635,A,0.07029851811544927
reduced3,3,635,M,0.8304765657418433
reduced3,3,972,A,0.06756121482312298
reduced3,3,972,M,1.0255465334166147
reduced3,3,593,A,0.06960073474179992
reduced3,3,593,M,0.8965356579913611
reduced3,3,994,A,0.08943495793316705
reduced3,3,994,M,0.8600314612518206
reduced3,3,285,A,0.05204783553638782
reduced3,3,285,M,0.92402843250672
reduced3,3,554,A,0.05295460141280692
reduced3,3,554,M,0.9519340739707618
reduced3,3,467,A,0.04900828703219405
reduced3,3,467,M,0.9253103150775126
reduced3,3,276,A,0.06733785602879558
reduced3,3,276,M,0.7764703127569129
reduced3,3,55,A,0.16202932868461228
reduced3,3,55,M,1.1622512817314747
reduced3,3,61,A,0.0740060543704088
reduced3,3,61,M,1.0188496014783226
reduced3,3,839,A,0.055346021654069204
reduced3,3,839,M,0.8837208581191655
reduced3,3,425,A,0.04714954929820808
reduced3,3,425,M,0.9785658567860135
reduced3,3,82,A,0.07481623914454283
reduced3,3,82,M,0.9491275808178699
reduced3,3,620,A,0.09289322009381354
reduced3,3,620,M,0.4994702283858687
reduced3,3,787,A,0.06341164880958552
reduced3,3,787,M,0.8449941280126413
reduced3,3,2,A,0.041172793115586574
reduced3,3,2,M,0.9597423380516117
reduced3,3,753,A,0.05914723360527576
reduced3,3,753,M,0.8724342705050213
reduced3,3,7,A,0.06578611243734399
reduced3,3,7,M,0.9431391660361749
reduced3,3,903,A,0.06598247742207586
reduced3,3,903,M,0.9109410545169008
reduced3,3,626,A,0.024846978129877167
reduced3,3,626,M,1.0546907670639623
reduced3,3,51,A,17466388.642787933
reduced3,3,51,M,0.437999335527314
reduced3,3,557,A,0.05010072057992886
reduced3,3,557,M,0.9120972276666206
reduced3,3,310,A,0.09618171557225491
reduced3,3,310,M,0.9097726626932321
reduced3,3,100,A,0.082217755201911
reduced3,3,100,M,0.8506120818679093
reduced3,3,848,A,0.06662947182984327
reduced3,3,848,M,0.794494015112313
reduced3,3,921,A,0.062080394922068696
reduced3,3,921,M,0.8714030502601571
reduced3,3,45,A,0.05240282430602417
reduced3,3,45,M,0.8437961569586685
reduced3,3,976,A,0.05609947724793678
reduced3,3,976,M,0.9031212833159316
reduced3,3,136,A,0.09039072444967905
reduced3,3,136,M,0.9666889943345673
reduced3,3,128,A,0.0995739481534105
reduced3,3,128,M,0.8119467736867739
reduced3,3,605,A,0.06698847303842695
reduced3,3,605,M,0.986936502275369
reduced3,3,945,A,16259697.079658508
reduced3,3,945,M,0.5205977060850332
reduced3,3,773,A,0.061651547856759165
reduced3,3,773,M,0.8105777943436707
reduced3,3,941,A,0.056526995284027846
reduced3,3,941,M,0.9072798924724909
reduced3,3,613,A,0.059814187826207454
reduced3,3,613,M,0.7086276402069831
reduced3,3,98,A,0.0675111113357284
reduced3,3,98,M,0.9807885090220753
reduced3,3,758,A,0.07305703605330911
reduced3,3,758,M,1.0034693700183726
reduced3,3,595,A,0.08269374752306691
reduced3,3,595,M,0.791236242933292
reduced3,3,470,A,0.06034953807796863
reduced3,3,470,M,0.9290987461799186
reduced3,3,25,A,9839052.706956863
reduced3,3,25,M,0.15780494320212235
reduced3,3,514,A,0.19551692770870113
reduced3,3,514,M,0.7482937787305953
reduced3,3,239,A,0.057456933299337785
reduced3,3,239,M,0.954825683251457
reduced3,3,980,A,0.06545783675209506
reduced3,3,980,M,0.7697752344352689
reduced3,3,623,A,0.05079999879646208
reduced3,3,623,M,0.8616007398123365
reduced3,3,252,A,0.053314044566487
reduced3,3,252,M,0.9933724924157454
reduced3,3,662,A,0.06535058134379787
reduced3,3,662,M,0.9412082349848931
reduced3,3,171,A,0.05424962847637157
reduced3,3,171,M,0.8857714778058678
reduced3,3,408,A,0.05696813548123921
reduced3,3,408,M,0.9769112827037112
reduced3,3,993,A,0.06941704291273004
reduced3,3,993,M,0.8863286407962028
reduced3,3,592,A,0.075587353830474
reduced3,3,592,M,0.9505907812925991
reduced3,3,701,A,0.04929101420385204
reduced3,3,701,M,1.0382988723015014
reduced3,3,427,A,0.07150053523527503
reduced3,3,427,M,0.9919400522130408
reduced3,3,457,A,0.06953227981336897
reduced3,3,457,M,0.9919097511141028
reduced3,3,454,A,0.07662118417761413
reduced3,3,454,M,0.9303714486726006
reduced3,3,151,A,0.06471224505367901
reduced3,3,151,M,0.9230476927606074
reduced3,3,756,A,0.045456611431158596
reduced3,3,756,M,0.7388923361978702
reduced3,3,250,A,0.05078072506188869
reduced3,3,250,M,0.9793396238160925
reduced3,3,904,A,0.2013694095089416
reduced3,3,904,M,0.7623765773675438
reduced3,3,324,A,0.06289819230005494
reduced3,3,324,M,0.732129591786085
reduced3,3,439,A,0.0711873415381365
reduced3,3,439,M,0.8517361966953186
reduced3,3,650,A,0.07398943974779579
reduced3,3,650,M,1.093420204777966
reduced3,3,238,A,0.0521431424226074
reduced3,3,238,M,0.804184633331068
reduced3,3,498,A,0.07676900946518515
reduced3,3,498,M,0.8374739631738961
reduced3,3,806,A,0.0714603290247439
reduced3,3,806,M,1.0384407459698302
reduced3,3,629,A,0.07378893389967826
reduced3,3,629,M,0.8829754585523815
reduced3,3,468,A,0.03684662819078926
reduced3,3,468,M,0.9382110620718151
reduced3,3,343,A,0.15652103731122516
reduced3,3,343,M,0.919308891983383
reduced3,3,664,A,0.06346581680105354
reduced3,3,664,M,0.9871683251486429
reduced3,3,671,A,0.05471457874374778
reduced3,3,671,M,0.8015978815375004
reduced3,3,652,A,0.06173272840939965
reduced3,3,652,M,1.0333659466667215
reduced3,3,346,A,0.05612494252576926
reduced3,3,346,M,0.9080309919674289
reduced3,3,381,A,0.06411238950241895
reduced3,3,381,M,0.8178078884560323
reduced3,3,493,A,0.052487410138000325
reduced3,3,493,M,0.8550630780633323
reduced3,3,708,A,0.05529198621221845
reduced3,3,708,M,1.0709271165919414
reduced3,3,513,A,0.041560543772087795
reduced3,3,513,M,0.9043197347452735
reduced3,3,563,A,0.0809894380811262
reduced3,3,563,M,1.101863341906164
reduced3,3,857,A,0.11048939823191231
reduced3,3,857,M,0.7018187607603209
reduced3,3,781,A,0.07791402412901911
reduced3,3,781,M,0.9900933740595048
reduced3,3,135,A,0.08931365272548447
reduced3,3,135,M,0.8868937018743983
reduced3,3,232,A,0.07470412204853268
reduced3,3,232,M,0.9157967520913564
reduced3,3,931,A,0.04943886140315643
reduced3,3,931,M,0.9122981244623304
reduced3,3,426,A,0.06687150197673529
reduced3,3,426,M,0.938872529442107
reduced3,3,660,A,0.05437279040790184
reduced3,3,660,M,0.8801390162698517
reduced3,3,995,A,0.10019117366167132
reduced3,3,995,M,0.7584831459028634
reduced3,3,36,A,0.06845560129977991
reduced3,3,36,M,0.8633473500983632
reduced3,3,545,A,0.0801606268845868
reduced3,3,545,M,0.8675384400320484
reduced3,3,116,A,0.06801226491699633
reduced3,3,116,M,0.7511194063836409
reduced3,3,434,A,0.07094516380321245
reduced3,3,434,M,0.8607518551239915
reduced3,3,390,A,0.0584218767835139
reduced3,3,390,M,0.7706287107111678
reduced3,3,751,A,0.06645615687836082
reduced3,3,751,M,0.9459109501168558
reduced4_AEIM,4,978,A,0.1374471669715936
reduced4_AEIM,4,978,M,0.8276012126541543
reduced4_AEIM,4,933,A,0.07290640702929645
reduced4_AEIM,4,933,M,0.8789191372292176
reduced4_AEIM,4,859,A,0.11721175503698912
reduced4_AEIM,4,859,M,0.8172247419656369
reduced4_AEIM,4,916,A,38239702.582359314
reduced4_AEIM,4,916,M,0.2907678270368626
reduced4_AEIM,4,127,A,0.1056754128011485
reduced4_AEIM,4,127,M,0.8947768622905854
reduced4_AEIM,4,608,A,0.19164953241182317
reduced4_AEIM,4,608,M,0.9396058694577913
reduced4_AEIM,4,856,A,0.15930087035489665
reduced4_AEIM,4,856,M,0.6870591092841073
reduced4_AEIM,4,260,A,0.07446455636151593
reduced4_AEIM,4,260,M,0.9362609124187571
reduced4_AEIM,4,147,A,0.1451291409283918
reduced4_AEIM,4,147,M,1.0355633982824188
reduced4_AEIM,4,810,A,0.12030118220884171
reduced4_AEIM,4,810,M,0.9639332677173295
reduced4_AEIM,4,635,A,0.12636433343842857
reduced4_AEIM,4,635,M,0.8150124532885898
reduced4_AEIM,4,972,A,0.10624526843274164
reduced4_AEIM,4,972,M,1.0052053482239454
reduced4_AEIM,4,593,A,0.16431787908083656
reduced4_AEIM,4,593,M,0.8714062844039347
reduced4_AEIM,4,994,A,0.1295768362426279
reduced4_AEIM,4,994,M,0.8642172734667549
reduced4_AEIM,4,285,A,0.07757270437436911
reduced4_AEIM,4,285,M,0.9137017720732736
reduced4_AEIM,4,554,A,0.07895410767476457
reduced4_AEIM,4,554,M,0.9384155655787446
reduced4_AEIM,4,467,A,0.08661906902346203
reduced4_AEIM,4,467,M,0.8981138082264967
reduced4_AEIM,4,276,A,0.17088534214124781
reduced4_AEIM,4,276,M,0.7694235727999584
reduced4_AEIM,4,55,A,32092997.431755066
reduced4_AEIM,4,55,M,0.8415509018629747
reduced4_AEIM,4,61,A,0.10338822344998316
reduced4_AEIM,4,61,M,1.0068330848517228
reduced4_AEIM,4,839,A,0.09098298239193471
reduced4_AEIM,4,839,M,0.86775935736246
reduced4_AEIM,4,425,A,0.10968200684903634
reduced4_AEIM,4,425,M,0.9670202031557757
reduced4_AEIM,4,82,A,0.09630701713269173
reduced4_AEIM,4,82,M,0.9358915772670388
reduced4_AEIM,4,620,A,0.1138640794199803
reduced4_AEIM,4,620,M,0.2505432707919537
reduced4_AEIM,4,787,A,0.10075363088473359
reduced4_AEIM,4,787,M,0.8294606628809439
reduced4_AEIM,4,2,A,0.09378105079005007
reduced4_AEIM,4,2,M,0.9323339513871481
reduced4_AEIM,4,753,A,0.09649535260326167
reduced4_AEIM,4,753,M,0.9091583953697332
reduced4_AEIM,4,7,A,0.08789581949754105
reduced4_AEIM,4,7,M,0.9316245681435109
reduced4_AEIM,4,903,A,0.08481448494794398
reduced4_AEIM,4,903,M,0.9305237220100109
reduced4_AEIM,4,626,A,0.16020975163565487
reduced4_AEIM,4,626,M,1.028931722434899
reduced4_AEIM,4,51,A,26874187.58869171
reduced4_AEIM,4,51,M,0.1620792632201288
reduced4_AEIM,4,557,A,0.09012010938552188
reduced4_AEIM,4,557,M,0.9007763434972026
reduced4_AEIM,4,310,A,0.13357797979586347
reduced4_AEIM,4,310,M,0.9327723169994788
reduced4_AEIM,4,100,A,0.1553594090845989
reduced4_AEIM,4,100,M,0.8547860898353022
reduced4_AEIM,4,848,A,0.1247405209001244
reduced4_AEIM,4,848,M,0.7725154548082889
reduced4_AEIM,4,921,A,32147166.13292694
reduced4_AEIM,4,921,M,0.6945032067953198
reduced4_AEIM,4,45,A,0.09251434809070348
reduced4_AEIM,4,45,M,0.8387791069236707
reduced4_AEIM,4,976,A,0.0714480872442551
reduced4_AEIM,4,976,M,0.8982985918596958
reduced4_AEIM,4,136,A,0.19682902167901434
reduced4_AEIM,4,136,M,0.9609631006841594
reduced4_AEIM,4,128,A,0.2004151899456275
reduced4_AEIM,4,128,M,0.3382015317031538
reduced4_AEIM,4,605,A,0.09316231592995242
reduced4_AEIM,4,605,M,0.9732873412668042
reduced4_AEIM,4,945,A,24420645.833015442
reduced4_AEIM,4,945,M,0.33101098505701876
reduced4_AEIM,4,773,A,0.10913003737560133
reduced4_AEIM,4,773,M,0.7901718558489691
reduced4_AEIM,4,941,A,0.07113103721959248
reduced4_AEIM,4,941,M,0.8942684433261151
reduced4_AEIM,4,613,A,0.13881465479552668
reduced4_AEIM,4,613,M,0.6394437405330434
reduced4_AEIM,4,98,A,0.11194194031727872
reduced4_AEIM,4,98,M,0.9776878772230096
reduced4_AEIM,4,758,A,0.1062002160814599
reduced4_AEIM,4,758,M,0.9828758795973966
reduced4_AEIM,4,595,A,0.10320235463927874
reduced4_AEIM,4,595,M,0.7881252118237463
reduced4_AEIM,4,470,A,0.09113299752455198
reduced4_AEIM,4,470,M,0.9156560218071418
reduced4_AEIM,4,25,A,12998533.248901367
reduced4_AEIM,4,25,M,0.15037521222457412
reduced4_AEIM,4,514,A,0.34429459428307496
reduced4_AEIM,4,514,M,0.45887261755698433
reduced4_AEIM,4,239,A,0.08756084091178454
reduced4_AEIM,4,239,M,0.9325016576838285
reduced4_AEIM,4,980,A,0.09601023533288815
reduced4_AEIM,4,980,M,0.7668775678017303
reduced4_AEIM,4,623,A,0.08659051605194885
reduced4_AEIM,4,623,M,0.855330777079872
reduced4_AEIM,4,252,A,0.10858841778266835
reduced4_AEIM,4,252,M,0.9058786750706405
reduced4_AEIM,4,662,A,0.1152829665417065
reduced4_AEIM,4,662,M,0.8819199037938729
reduced4_AEIM,4,171,A,0.11717894752116609
reduced4_AEIM,4,171,M,0.8504464374521655
reduced4_AEIM,4,408,A,0.14611740654847608
reduced4_AEIM,4,408,M,0.9648215891418418
reduced4_AEIM,4,993,A,0.10229722066227517
