run,nrmse,Base,Mod,Am,MOF_C
trans_mof4_n100_s42,0.092293,0.027481,0.085575,0.123147,0.132967
mamba_mof4_n100_s42,0.104171,0.058865,0.094779,0.118014,0.145028
A6_baseline_n100,0.107149,0.028834,0.093900,0.150376,0.155486
lstm_mof4_n100_s42,0.114581,0.038066,0.092996,0.146134,0.181128
lstm_mof4_n100_fl_s42,0.391798,0.019468,0.287317,1.125434,0.134972
A6_baseline_first_last_n100,0.443071,0.014580,0.217463,1.399193,0.141047
trans_mof4_n100_fl_s42,0.469771,0.017785,0.254171,1.462516,0.144611
mamba_mof4_n100_fl_s42,0.574826,0.019263,0.197071,1.932623,0.150345
