run,nrmse,Glc,SugarP,PEP,Pyr,Lac,ATP,NAD,NADH
A6_baseline_n1000,0.113018,0.030708,0.075237,0.526308,0.060236,0.040378,0.027280,0.058065,0.085929
trans_glyc8_n1000_s42,0.122957,0.041451,0.076420,0.526459,0.080697,0.057185,0.031847,0.070991,0.098607
mamba_glyc8_n1000_s42,0.167955,0.048602,0.075054,0.742868,0.107288,0.086889,0.038628,0.103145,0.141163
trans_glyc8_n1000_fl_s42,0.820666,0.009910,0.258855,5.611456,0.371351,0.119680,0.125552,0.027976,0.040550
mamba_glyc8_n1000_fl_s42,0.879544,0.022718,0.289579,5.970274,0.270342,0.194888,0.147173,0.057749,0.083626
A6_baseline_first_last_n1000,0.887256,0.012336,0.224149,6.328597,0.145649,0.170425,0.142078,0.031715,0.043096
lstm_glyc8_n1000_fl_s42,0.938635,0.028162,0.277037,6.420876,0.238154,0.213023,0.166327,0.066468,0.099031
lstm_glyc8_n1000_s42,7981460.347572,1610735.997502,1181077.601604,47465074.527808,2621118.623289,2482932.345068,1020932.552841,3485272.464797,3984538.667669
