run,nrmse,Base,Mod,Am,MOF_C
trans_mof4_n3_s42,0.146631,0.048512,0.101170,0.157266,0.279575
lstm_mof4_n3_s42,0.163417,0.047770,0.055196,0.237668,0.313035
A6_baseline_n3,0.181463,0.051951,0.115358,0.108907,0.449636
mamba_mof4_n3_s42,0.222237,0.049461,0.185750,0.147486,0.506250
mamba_mof4_n3_fl_s42,0.798292,0.038654,0.530561,2.465759,0.158196
trans_mof4_n3_fl_s42,0.831049,0.041768,0.446220,2.325144,0.511064
lstm_mof4_n3_fl_s42,0.934651,0.043111,0.474507,2.854645,0.366341
A6_baseline_first_last_n3,1.050477,0.038958,0.469985,3.540879,0.152087
