run,nrmse,Glc,HexP,TriP,BPG13,PG3,PEP,Pyr,Lac,ATP,ADP,NAD,NADH
trans_glyc12_n100_s42,0.105673,0.034586,0.035349,0.293951,0.376756,0.087198,0.121716,0.066297,0.036189,0.020593,0.011185,0.028390,0.155865
A6_baseline_n100,0.131684,0.044088,0.045232,0.319061,0.518282,0.133799,0.136228,0.085520,0.103519,0.025474,0.017168,0.031768,0.120064
mamba_glyc12_n100_s42,0.154360,0.039780,0.043505,0.404334,0.582222,0.126594,0.244922,0.080136,0.107472,0.029282,0.019638,0.041169,0.133264
mamba_glyc12_n100_fl_s42,0.320033,0.146059,0.170133,0.467034,0.393430,0.520613,0.455440,0.468721,0.430792,0.099100,0.080080,0.146723,0.462270
lstm_glyc12_n100_s42,0.347621,0.162278,0.231438,0.529638,0.417427,0.476498,0.522859,0.573922,0.433061,0.090944,0.079663,0.135319,0.518405
trans_glyc12_n100_fl_s42,0.463308,0.012682,0.229464,1.164905,3.019657,0.197813,0.234673,0.307470,0.217622,0.035643,0.024396,0.016584,0.098788
lstm_glyc12_n100_fl_s42,0.525315,0.025668,0.174848,0.807130,3.460488,0.247260,0.756191,0.305322,0.248086,0.062267,0.051725,0.025096,0.139702
A6_baseline_first_last_n100,0.564177,0.033579,0.100228,1.037980,4.066759,0.382876,0.299619,0.285072,0.300367,0.045076,0.041356,0.025775,0.151433
