run,nrmse,Glc,HexP,TriP,BPG13,PG3,PEP,Pyr,Lac,ATP,ADP,NAD,NADH
trans_glyc12_n100_s42,0.118864,0.036408,0.038734,0.251950,0.438169,0.091591,0.144419,0.077890,0.048812,0.022644,0.013634,0.065732,0.196391
A6_baseline_n100,0.147651,0.049462,0.042895,0.277127,0.527716,0.146091,0.157974,0.095654,0.111610,0.034192,0.020535,0.069643,0.238912
mamba_glyc12_n100_s42,0.162056,0.043845,0.041578,0.332996,0.556327,0.137949,0.197451,0.099423,0.106800,0.033648,0.020070,0.088626,0.285956
mamba_glyc12_n100_fl_s42,0.341208,0.139126,0.197112,0.514075,0.396236,0.528689,0.442302,0.478020,0.432188,0.125429,0.079180,0.209257,0.552881
lstm_glyc12_n100_s42,0.394938,0.216431,0.307086,0.564217,0.458652,0.475053,0.526204,0.581631,0.435467,0.129594,0.147485,0.248683,0.648750
trans_glyc12_n100_fl_s42,0.416485,0.015432,0.215113,0.962428,2.657132,0.170958,0.231298,0.304632,0.211190,0.065430,0.038631,0.032718,0.092854
lstm_glyc12_n100_fl_s42,0.507657,0.025392,0.173290,0.759171,3.172434,0.259545,0.831353,0.326856,0.230456,0.078203,0.048179,0.043469,0.143538
A6_baseline_first_last_n100,0.507961,0.035246,0.104240,0.872397,3.455576,0.399004,0.294808,0.327631,0.298033,0.058155,0.036486,0.050029,0.163929
