time,loss_onestep,loss_rollout
1.003344506025314331e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.006689012050628662e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.010033369064331055e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.013378024101257324e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.016722679138183594e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.020066738128662109e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.023411393165588379e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.026756048202514648e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.030100107192993164e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.003344535827636719e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.103678941726684570e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.204013347625732422e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.304347872734069824e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.404682278633117676e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.505016684532165527e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.605351209640502930e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.705685615539550781e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.806020021438598633e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.906354546546936035e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.006689071655273438e+00,2.225778317210824753e-08,1.200846444504577448e-08
2.107023477554321289e+00,2.225778317210824753e-08,3.998943398642040847e-08
2.207357883453369141e+00,2.225778317210824753e-08,7.884722919015985099e-08
2.307692289352416992e+00,2.225778317210824753e-08,1.264946973833502852e-07
2.408026695251464844e+00,2.225778317210824753e-08,1.817760590938632959e-07
2.508361101150512695e+00,2.225778317210824753e-08,2.439509216856095009e-07
2.608695745468139648e+00,2.225778317210824753e-08,3.124834222489880631e-07
2.709030151367187500e+00,2.225778317210824753e-08,3.869634781494823983e-07
2.809364557266235352e+00,2.225778317210824753e-08,4.671537396916392026e-07
2.909698963165283203e+00,2.225778317210824753e-08,5.528046926883689594e-07
3.010033369064331055e+00,2.225778317210824753e-08,6.436986836888536345e-07
3.110367774963378906e+00,2.225778317210824753e-08,7.397122203656181227e-07
3.210702419281005859e+00,2.225778317210824753e-08,8.407024552070652135e-07
3.311036825180053711e+00,2.225778317210824753e-08,9.464122285862686113e-07
3.411371231079101562e+00,2.225778317210824753e-08,1.056909241015091538e-06
3.511705636978149414e+00,2.225778317210824753e-08,1.172085489997698460e-06
3.612040042877197266e+00,2.225778317210824753e-08,1.291861849495035131e-06
3.712374687194824219e+00,2.225778317210824753e-08,1.416116106156550813e-06
3.812709093093872070e+00,2.225778317210824753e-08,1.544740939607436303e-06
3.913043498992919922e+00,2.225778317210824753e-08,1.677875047789711971e-06
4.013378143310546875e+00,2.225778317210824753e-08,1.815226482904108707e-06
4.113712310791015625e+00,2.225778317210824753e-08,1.956896539923036471e-06
4.214046955108642578e+00,2.225778317210824753e-08,2.102679445670219138e-06
4.314381122589111328e+00,2.225778317210824753e-08,2.252714466521865688e-06
4.414715766906738281e+00,2.225778317210824753e-08,2.406902694929158315e-06
4.515049934387207031e+00,2.225778317210824753e-08,2.565143631727551110e-06
4.615384578704833984e+00,2.225778317210824753e-08,2.727635092014679685e-06
4.715719223022460938e+00,2.225778317210824753e-08,2.894101953643257730e-06
4.816053390502929688e+00,2.225778317210824753e-08,3.064559905396890827e-06
4.916388034820556641e+00,2.225778317210824753e-08,3.239036914237658493e-06
5.016722202301025391e+00,2.225778317210824753e-08,3.417352672840934247e-06
5.117056846618652344e+00,2.225778317210824753e-08,3.599654291974729858e-06
5.217391490936279297e+00,2.225778317210824753e-08,3.785996796068502590e-06
5.317725658416748047e+00,2.225778317210824753e-08,3.976209882239345461e-06
5.418060302734375000e+00,2.225778317210824753e-08,4.170232841715915129e-06
5.518394470214843750e+00,2.225778317210824753e-08,4.368129793874686584e-06
5.618729114532470703e+00,2.225778317210824753e-08,4.569722023006761447e-06
5.719063758850097656e+00,2.225778317210824753e-08,4.775341039930935949e-06
5.819397926330566406e+00,2.225778317210824753e-08,4.984553015674464405e-06
5.919732570648193359e+00,2.225778317210824753e-08,5.197842256166040897e-06
6.020066738128662109e+00,2.225778317210824753e-08,5.414768111222656444e-06
6.120401382446289062e+00,2.225778317210824753e-08,5.635561592498561367e-06
6.220735549926757812e+00,2.225778317210824753e-08,5.859757948201149702e-06
6.321070194244384766e+00,2.225778317210824753e-08,6.087885594752151519e-06
6.421404838562011719e+00,2.225778317210824753e-08,6.319620297290384769e-06
6.521739006042480469e+00,2.225778317210824753e-08,6.554921128554269671e-06
6.622073650360107422e+00,2.225778317210824753e-08,6.794211003580130637e-06
6.722407817840576172e+00,2.225778317210824753e-08,7.037158866296522319e-06
6.822742462158203125e+00,2.225778317210824753e-08,7.283730610652128235e-06
6.923077106475830078e+00,2.225778317210824753e-08,7.533893494837684557e-06
7.023411273956298828e+00,2.225778317210824753e-08,7.787615686538629234e-06
7.123745918273925781e+00,2.225778317210824753e-08,8.045031790970824659e-06
7.224080085754394531e+00,2.225778317210824753e-08,8.306118616019375622e-06
7.324414730072021484e+00,2.225778317210824753e-08,8.570850695832632482e-06
7.424749374389648438e+00,2.225778317210824753e-08,8.839203474053647369e-06
7.525083541870117188e+00,2.225778317210824753e-08,9.110973223869223148e-06
7.625418186187744141e+00,2.225778317210824753e-08,9.386492820340208709e-06
7.725752353668212891e+00,2.225778317210824753e-08,9.665561265137512237e-06
7.826086997985839844e+00,2.225778317210824753e-08,9.947964827006217092e-06
7.926421642303466797e+00,2.225778317210824753e-08,1.023405366140650585e-05
8.026756286621093750e+00,2.225778317210824753e-08,1.052381139743374661e-05
8.127090454101562500e+00,2.225778317210824753e-08,1.081722166418330744e-05
8.227424621582031250e+00,2.225778317210824753e-08,1.111407073040027171e-05
8.327758789062500000e+00,2.225778317210824753e-08,1.141393022408010438e-05
8.428093910217285156e+00,2.225778317210824753e-08,1.171778239950072020e-05
8.528428077697753906e+00,2.225778317210824753e-08,1.202500516228610650e-05
8.628762245178222656e+00,2.225778317210824753e-08,1.233578404935542494e-05
8.729097366333007812e+00,2.225778317210824753e-08,1.264989259652793407e-05
8.829431533813476562e+00,2.225778317210824753e-08,1.296773643844062462e-05
8.929765701293945312e+00,2.225778317210824753e-08,1.328887083218432963e-05
9.030099868774414062e+00,2.225778317210824753e-08,1.361371323582716286e-05
9.130434989929199219e+00,2.225778317210824753e-08,1.394181072100764140e-05
9.230769157409667969e+00,2.225778317210824753e-08,1.427336428605485708e-05
9.331103324890136719e+00,2.225778317210824753e-08,1.460858675272902474e-05
9.431438446044921875e+00,2.225778317210824753e-08,1.494677781010977924e-05
9.531772613525390625e+00,2.225778317210824753e-08,1.528883876744657755e-05
9.632106781005859375e+00,2.225778317210824753e-08,1.563453588460106403e-05
9.732441902160644531e+00,2.225778317210824753e-08,1.598361814103554934e-05
9.832776069641113281e+00,2.225778317210824753e-08,1.633583451621234417e-05
9.933110237121582031e+00,2.225778317210824753e-08,1.669164521445054561e-05
1.003344440460205078e+01,2.225778317210824753e-08,1.705055001366417855e-05
1.013377952575683594e+01,2.225778317210824753e-08,1.741327287163585424e-05
1.023411369323730469e+01,2.225778317210824753e-08,1.777956094883847982e-05
1.033444786071777344e+01,2.225778317210824753e-08,1.814889947127085179e-05
1.043478298187255859e+01,2.225778317210824753e-08,1.852152308856602758e-05
1.053511714935302734e+01,2.225778317210824753e-08,1.889793384179938585e-05
1.063545131683349609e+01,2.225778317210824753e-08,1.927760786202270538e-05
1.073578548431396484e+01,2.225778317210824753e-08,1.966052695934195071e-05
1.083612060546875000e+01,2.225778317210824753e-08,2.004721318371593952e-05
1.093645477294921875e+01,2.225778317210824753e-08,2.043712811428122222e-05
1.103678894042968750e+01,2.225778317210824753e-08,2.083025356114376336e-05
1.113712406158447266e+01,2.225778317210824753e-08,2.122629848599899560e-05
1.123745822906494141e+01,2.225778317210824753e-08,2.162635064451023936e-05
1.133779239654541016e+01,2.225778317210824753e-08,2.202957875852007419e-05
1.143812751770019531e+01,2.225778317210824753e-08,2.243624840048141778e-05
1.153846168518066406e+01,2.225778317210824753e-08,2.284635411342605948e-05
1.163879585266113281e+01,2.225778317210824753e-08,2.325931018276605755e-05
1.173913002014160156e+01,2.225778317210824753e-08,2.367625529586803168e-05
1.183946514129638672e+01,2.225778317210824753e-08,2.409602711850311607e-05
1.193979930877685547e+01,2.225778317210824753e-08,2.451978252793196589e-05
1.204013347625732422e+01,2.225778317210824753e-08,2.494633736205287278e-05
1.214046859741210938e+01,2.225778317210824753e-08,2.537597174523398280e-05
1.224080276489257812e+01,2.225778317210824753e-08,2.580957516329362988e-05
1.234113693237304688e+01,2.225778317210824753e-08,2.624593798827845603e-05
1.244147109985351562e+01,2.225778317210824753e-08,2.668595698196440935e-05
1.254180622100830078e+01,2.225778317210824753e-08,2.712901368795428425e-05
1.264214038848876953e+01,2.225778317210824753e-08,2.757603033387567848e-05
1.274247455596923828e+01,2.225778317210824753e-08,2.802575363602954894e-05
1.284280967712402344e+01,2.225778317210824753e-08,2.847911491699051112e-05
1.294314384460449219e+01,2.225778317210824753e-08,2.893547207349911332e-05
1.304347801208496094e+01,2.225778317210824753e-08,2.939545629487838596e-05
1.314381313323974609e+01,2.225778317210824753e-08,2.985874380101449788e-05
1.324414730072021484e+01,2.225778317210824753e-08,3.032532367797102779e-05
1.334448146820068359e+01,2.225778317210824753e-08,3.079486123169772327e-05
1.344481563568115234e+01,2.225778317210824753e-08,3.126800220343284309e-05
1.354515075683593750e+01,2.225778317210824753e-08,3.174408630002290010e-05
1.364548492431640625e+01,2.225778317210824753e-08,3.222409941372461617e-05
1.374581909179687500e+01,2.225778317210824753e-08,3.270668821642175317e-05
1.384615421295166016e+01,2.225778317210824753e-08,3.319287134218029678e-05
1.394648838043212891e+01,2.225778317210824753e-08,3.368194666109047830e-05
1.404682254791259766e+01,2.225778317210824753e-08,3.417459811316803098e-05
1.414715671539306641e+01,2.225778317210824753e-08,3.467012720648199320e-05
1.424749183654785156e+01,2.225778317210824753e-08,3.516922151902690530e-05
1.434782600402832031e+01,2.225778317210824753e-08,3.567116800695657730e-05
1.444816017150878906e+01,2.225778317210824753e-08,3.617667243815958500e-05
1.454849529266357422e+01,2.225778317210824753e-08,3.668573481263592839e-05
1.464882946014404297e+01,2.225778317210824753e-08,3.719799133250489831e-05
1.474916362762451172e+01,2.225778317210824753e-08,3.771306364797055721e-05
1.484949874877929688e+01,2.225778317210824753e-08,3.823131191893480718e-05
1.494983291625976562e+01,2.225778317210824753e-08,3.875346737913787365e-05
1.505016708374023438e+01,2.225778317210824753e-08,3.927879151888191700e-05
1.515050125122070312e+01,2.225778317210824753e-08,3.980690235039219260e-05
1.525083637237548828e+01,2.225778317210824753e-08,4.033853474538773298e-05
1.535117053985595703e+01,2.225778317210824753e-08,4.087293200427666306e-05
1.545150470733642578e+01,2.225778317210824753e-08,4.141085082665085793e-05
1.555183982849121094e+01,2.225778317210824753e-08,4.195266592432744801e-05
1.565217399597167969e+01,2.225778317210824753e-08,4.249684207024984062e-05
1.575250816345214844e+01,2.225778317210824753e-08,4.304452158976346254e-05
1.585284328460693359e+01,2.225778317210824753e-08,4.359492231742478907e-05
1.595317745208740234e+01,2.225778317210824753e-08,4.414881550474092364e-05
1.605351257324218750e+01,2.225778317210824753e-08,4.470661224331706762e-05
1.615384674072265625e+01,2.225778317210824753e-08,4.526670090854167938e-05
1.625418090820312500e+01,2.225778317210824753e-08,4.583027839544229209e-05
1.635451507568359375e+01,2.225778317210824753e-08,4.639774488168768585e-05
1.645484924316406250e+01,2.225778317210824753e-08,4.696707401308231056e-05
1.655518341064453125e+01,2.225778317210824753e-08,4.754069232149049640e-05
1.665551757812500000e+01,2.225778317210824753e-08,4.811738472199067473e-05
1.675585365295410156e+01,2.225778317210824753e-08,4.869713302468881011e-05
1.685618782043457031e+01,2.225778317210824753e-08,4.927993359160609543e-05
1.695652198791503906e+01,2.225778317210824753e-08,4.986662679584696889e-05
1.705685615539550781e+01,2.225778317210824753e-08,5.045594298280775547e-05
1.715719032287597656e+01,2.225778317210824753e-08,5.104829324409365654e-05
1.725752449035644531e+01,2.225778317210824753e-08,5.164409958524629474e-05
1.735785865783691406e+01,2.225778317210824753e-08,5.224293636274524033e-05
1.745819473266601562e+01,2.225778317210824753e-08,5.284478902467526495e-05
1.755852890014648438e+01,2.225778317210824753e-08,5.345009049051441252e-05
1.765886306762695312e+01,2.225778317210824753e-08,5.405839692684821784e-05
1.775919723510742188e+01,2.225778317210824753e-08,5.466970833367668092e-05
1.785953140258789062e+01,2.225778317210824753e-08,5.528489782591350377e-05
1.795986557006835938e+01,2.225778317210824753e-08,5.590219370787963271e-05
1.806019973754882812e+01,2.225778317210824753e-08,5.652336403727531433e-05
1.816053581237792969e+01,2.225778317210824753e-08,5.714796498068608344e-05
1.826086997985839844e+01,2.225778317210824753e-08,5.777509795734658837e-05
1.836120414733886719e+01,2.225778317210824753e-08,5.840519224875606596e-05
1.846153831481933594e+01,2.225778317210824753e-08,5.903961573494598269e-05
1.856187248229980469e+01,2.225778317210824753e-08,5.967563265585340559e-05
1.866220664978027344e+01,2.225778317210824753e-08,6.031551674823276699e-05
1.876254272460937500e+01,2.225778317210824753e-08,6.095880962675437331e-05
1.886287689208984375e+01,2.225778317210824753e-08,6.160505290608853102e-05
1.896321105957031250e+01,2.225778317210824753e-08,6.225423567229881883e-05
1.906354522705078125e+01,2.225778317210824753e-08,6.290681631071493030e-05
1.916387939453125000e+01,2.225778317210824753e-08,6.356279482133686543e-05
1.926421356201171875e+01,2.225778317210824753e-08,6.422122532967478037e-05
1.936454772949218750e+01,2.225778317210824753e-08,6.488305371021851897e-05
1.946488380432128906e+01,2.225778317210824753e-08,6.554827268701046705e-05
1.956521797180175781e+01,2.225778317210824753e-08,6.621638749493286014e-05
1.966555213928222656e+01,2.225778317210824753e-08,6.688741268590092659e-05
1.976588630676269531e+01,2.225778317210824753e-08,6.756230868631973863e-05
1.986622047424316406e+01,2.225778317210824753e-08,6.824010051786899567e-05
1.996655464172363281e+01,2.225778317210824753e-08,6.892028613947331905e-05
2.006688880920410156e+01,2.225778317210824753e-08,6.960434984648600221e-05
2.016722488403320312e+01,2.225778317210824753e-08,7.029128028079867363e-05
2.026755905151367188e+01,2.225778317210824753e-08,7.098158675944432616e-05
2.036789321899414062e+01,2.225778317210824753e-08,7.167476724134758115e-05
2.046822738647460938e+01,2.225778317210824753e-08,7.237130921566858888e-05
2.056856155395507812e+01,2.225778317210824753e-08,7.307071064133197069e-05
2.066889572143554688e+01,2.225778317210824753e-08,7.377347355941310525e-05
2.076922988891601562e+01,2.225778317210824753e-08,7.447908865287899971e-05
2.086956596374511719e+01,2.225778317210824753e-08,7.518754864577203989e-05
2.096990013122558594e+01,2.225778317210824753e-08,7.589987217215821147e-05
2.107023429870605469e+01,2.225778317210824753e-08,7.661400013603270054e-05
2.117056846618652344e+01,2.225778317210824753e-08,7.733199163340032101e-05
2.127090263366699219e+01,2.225778317210824753e-08,7.805332279531285167e-05
2.137123680114746094e+01,2.225778317210824753e-08,7.877801544964313507e-05
2.147157096862792969e+01,2.225778317210824753e-08,7.950499275466427207e-05
2.157190704345703125e+01,2.225778317210824753e-08,8.023476402740925550e-05
2.167224121093750000e+01,2.225778317210824753e-08,8.096842066152021289e-05
2.177257537841796875e+01,2.225778317210824753e-08,8.170540240826085210e-05
2.187290954589843750e+01,2.225778317210824753e-08,8.244464697781950235e-05
2.197324371337890625e+01,2.225778317210824753e-08,8.318722393596544862e-05
2.207357788085937500e+01,2.225778317210824753e-08,8.393367170356214046e-05
2.217391395568847656e+01,2.225778317210824753e-08,8.468290616292506456e-05
