mode,n_obs,obs_species,eval_species,nrmse,in_obs
one-step,9,"A,B,C,D,E,F,G,H,M",L,0.042313989251852036,False
one-step,9,"A,B,C,D,E,F,G,H,M",M,0.002583851804956794,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",A,0.0022561659570783377,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",B,0.00756260147318244,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",C,0.00623048422858119,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",D,0.008171506226062775,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",E,0.030021602287888527,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",F,0.0241334717720747,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",G,0.016122544184327126,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",H,0.011931396089494228,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",I,0.022659562528133392,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",J,0.05751841142773628,False
one-step,10,"A,B,C,D,E,F,G,H,I,M",K,0.05531179532408714,False
one-step,10,"A,B,C,D,E,F,G,H,I,M",L,0.0424196794629097,False
one-step,10,"A,B,C,D,E,F,G,H,I,M",M,0.002550728851929307,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",A,0.0022657152730971575,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",B,0.0075638750568032265,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",C,0.0062323687598109245,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",D,0.008169079199433327,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",E,0.030029572546482086,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",F,0.024135569110512733,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",G,0.016124574467539787,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",H,0.01192993763834238,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",I,0.023338116705417633,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",J,0.046738408505916595,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",K,0.05585550144314766,False
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",L,0.042397234588861465,False
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",M,0.002533453516662121,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",A,0.002275030128657818,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",B,0.007565146777778864,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",C,0.006234241183847189,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",D,0.008166719228029251,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",E,0.03003757633268833,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",F,0.024137424305081367,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",G,0.016126548871397972,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",H,0.011929483152925968,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",I,0.023150058463215828,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",J,0.04956449195742607,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",K,0.05266248807311058,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",L,0.0417051836848259,False
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",M,0.003896242706105113,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",A,0.002284139860421419,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",B,0.007566411513835192,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",C,0.006236101035028696,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",D,0.008164421655237675,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",E,0.03004549629986286,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",F,0.024139216169714928,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",G,0.01612801104784012,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",H,0.011932430788874626,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",I,0.023189429193735123,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",J,0.04909143224358559,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",K,0.055562663823366165,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",L,0.03255116194486618,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",M,0.006676047574728727,True
