run,nrmse,Glc,Pyr,ATP,NADH
A4_neural_ode_mlp_n100,0.025448,0.029615,0.012674,0.016148,0.043354
A2_sample_theta_n100,0.036340,0.027861,0.094811,0.012725,0.009964
A7_l1reg_n100,0.038225,0.032338,0.090123,0.015524,0.014914
A5_unbounded_n100,0.039670,0.081693,0.044729,0.014024,0.018233
A6_baseline_n100,0.042716,0.035064,0.094700,0.021439,0.019661
A9_neural_ode_correction_n100,0.052887,0.045014,0.094813,0.023063,0.048658
A3_neural_ode_gru_n100,0.076057,0.160799,0.069690,0.030946,0.042793
A1_fixed_theta_n100,1.613670,2.742425,0.169176,1.861704,1.681375
