run,nrmse,R,O,m,mm,p,pm,DNA
A5_lstm,6635965.456670,50522669.043900,27450641.154793,1501803727.745889,3032901.250306,84196459126.101746,10239029.663034,0.000000
A4_gru,55546098.926928,55442366.516256,71345656.085174,1327129645.822556,1950607.839372,21434214834.441357,109141590.014483,0.000000
A3_neural_ode_gru,113613360.910350,1021264571125.980957,896173196018.692993,3162089758.158157,0.457757,682454758497.798950,227226721.362944,37346066926.515617
