run,nrmse,R,O,m,mm,p,pm,DNA
s1_sp42,0.601902,20657908.171415,16889480.501413,758837938.308716,0.570572,29223611450.195312,0.633232,201166546.344757
s256_sp11,0.829484,91829073.429108,24189309.775829,336590898.036957,1.011493,23253311157.226562,0.647474,201158297.061920
s42_sp7,1.157463,28139464.557171,13055736.571550,5192088317.871094,1.642813,6181893157.958984,0.672114,201149892.807007
s17_sp99,1.730065,83706152.439117,23610434.681177,277763211.727142,2.826664,55386160278.320312,0.633465,201149892.807007
s137_sp23,2.145802,50325627.624989,23139736.056328,229860055.446625,3.629658,6825577163.696289,0.661946,201141452.789307
s314_sp88,15.213167,87711110.711098,51982975.006104,26287484741.210938,25.240525,416276660156.250000,5.185809,201141500.473022
