run,nrmse,CH4,O2,H2O,CO,CO2,H2,H,O,OH,HO2,H2O2,CH3,CH2O,N2
B5_neural_ode_mlp_full14,2.006521,0.335535,0.267704,0.371906,0.175215,0.234399,25.248293,0.163441,0.119269,0.172419,0.149042,0.158503,0.129835,0.243788,0.321949
B1_neural_ode_gru_full14,2.087130,0.335535,0.272474,0.415318,0.175215,0.235263,25.174933,0.167685,0.981081,0.452475,0.149042,0.157618,0.129835,0.243788,0.329565
B3_ode_rnn_kovacs54_full14,2.491122,0.335535,1.006187,2.218522,0.175216,0.770476,25.199329,0.163441,0.975952,1.916375,0.418140,0.675626,0.129835,0.243788,0.647291
