run,nrmse,R,O,m,mm,p,pm,DNA
C1_b5_plus_endpoint_floors,0.450622,11192984.879017,48543524.742126,290170943.737030,0.332987,24422330474.853516,0.568257,201141512.393951
C0_b5_plus_endpoint,0.475046,11324693.262577,18768157.809973,2395934677.124023,0.371874,110006689453.125000,0.578217,201141512.393951
B1_b5_lifted_floors_widened_hi,0.484490,11775684.729218,16896054.148674,397596108.913422,0.360870,23676122283.935547,0.608109,201141512.393951
G0_rank2_repro_with_b5_head,0.490646,11438567.563891,11101613.193750,423486042.022705,0.358434,199821002197.265625,0.622858,201141512.393951
A0_b5_anchor,0.499515,16845566.034317,12413139.641285,251094043.254852,0.357804,40264601135.253906,0.641226,201141512.393951
F0_b5_o_term,0.499515,16845566.034317,12413139.641285,251094043.254852,0.357804,40264601135.253906,0.641226,201141512.393951
B0_b5_lifted_floors,0.502689,16222976.893187,18722055.107355,757840085.029602,0.392380,4872750473.022461,0.612997,201141512.393951
A1_b5_gamma,0.514605,11353081.837296,47983051.836491,1982012081.146240,0.426827,1102317380.905151,0.602383,201141512.393951
