run,nrmse,R,O,m,mm,p,pm,DNA,r2_pm_final,r2_mm_max
mamba_ssm_default_hidden400,0.330108,83387499.151386,29352162.741762,239002113.520773,0.280802,22697834764.377525,0.379414,0.000000,-0.288835,-0.003302
cmvfgru_s1,0.344576,46087340.091513,55929792.154233,365833694.136599,0.241095,19941751009.178085,0.448057,0.000000,0.409902,0.582604
transformer_default_bs32_clen100,0.379499,37825994.550960,85364024.896455,218552447.341677,0.291297,72011263976.134033,0.467700,0.000000,0.050150,0.074601
transformer_cumsum_sqrt,0.382234,95945175.692574,58967037.532721,473518808.923777,0.290826,42360601380.546211,0.473643,0.000000,0.168206,0.392451
A3_neural_ode_gru,0.400192,980791463560.800537,877160587458.054932,991708781.648838,0.297223,569811475635.316406,0.503161,4589103.014770,0.030478,0.238855
transformer_default_bs32_clen180,0.425922,47521747.126358,59873295.543446,984689435.340627,0.339781,109200831758.541519,0.512062,0.000000,0.034265,0.242736
A1_fixed_theta,0.461110,54778016.321726,67706378.329896,291117030.606953,0.377360,16795012603.577023,0.544859,0.000000,-0.148142,-0.314891
A2_sample_theta,0.467080,52967676.373598,86217455.113580,158638515.286243,0.392174,21297701592.324322,0.541987,0.000000,-0.135335,-0.306983
