run,nrmse,R,O,m,mm,p,pm,DNA,r2_pm_final,r2_mm_max
cmvfgru_s1,1346642.836923,45280247.666808,55940160.596914,1671139088.853585,2091199.432341,33393874608.567474,602086.241506,0.000000,0.409902,0.582604
transformer_cumsum_sqrt,4922117.267397,93918526.228559,63956935.624785,2261305658.242702,6157474.035162,84579717070.289261,3686760.499631,0.000000,0.168206,0.392451
transformer_default_bs32_clen180,51480496.644406,54134266.702686,54540537.183276,1846390325.643802,21941741.914628,140005513389.447083,81019251.374185,0.000000,0.034265,0.242736
mamba_ssm_default_hidden400,77408370.512679,79344293.121804,37374544.287802,491489144.395931,13611214.877568,71559717554.247498,141205526.147789,0.000000,-0.288835,-0.003302
A2_sample_theta,78209694.453496,54076816.126463,86721530.340175,161382305.874966,17314628.516717,21268648338.629936,139104760.390274,0.000000,-0.135335,-0.306983
A1_fixed_theta,82844335.810906,55886004.744333,68684137.973053,295897659.601295,16211969.995087,16872973004.751720,149476701.626724,0.000000,-0.148142,-0.314891
A3_neural_ode_gru,113613360.910350,1021264571125.980957,896173196018.692993,3162089758.158157,0.457757,682454758497.798950,227226721.362944,37346066926.515617,0.030478,0.238855
transformer_default_bs32_clen100,188749717.248296,37457774.213752,66848184.678855,229243749.526189,12529718.437298,87634727191.495514,364969716.059293,0.000000,0.050150,0.074601
