run,nrmse,CH4,O2,CO,CO2
A4_neural_ode_mlp,0.069393,0.008668,0.034304,0.116262,0.118339
A3_neural_ode_gru,0.095745,0.026127,0.039358,0.140551,0.176945
A6_baseline,6.113730,0.108093,0.185006,6.575324,17.586496
A5_unbounded,6.138772,0.110519,0.183968,6.520252,17.740347
