run,nrmse,A,C
A7_ode_rnn_l1reg,0.098746,0.093537,0.103955
A5_ode_rnn_baseline,0.129578,0.120315,0.138841
A3_neural_ode_gru,0.130406,0.108109,0.152703
A6_ode_rnn_unbounded,0.156392,0.141043,0.171741
A4_neural_ode_mlp,0.216653,0.200761,0.232545
A2_sample_theta,0.251555,0.251296,0.251814
A1_fixed_theta,0.255192,0.251789,0.258595
