run,nrmse,R,m,mm,p,pm,DNA
A1_fixed_theta,0.440487,59941691.160202,216991829.872131,0.334218,8897849273.681641,0.546756,215848863.124847
A2_sample_theta,0.447409,56321930.885315,175103014.707565,0.342736,8252006530.761719,0.552082,215848863.124847
A6_baseline,0.508376,62802168.726921,425588083.267212,0.446618,15890194702.148438,0.570133,215848863.124847
A4_neural_ode_mlp,nan,nan,nan,nan,nan,nan,nan
A5_unbounded,nan,nan,nan,nan,nan,nan,215848863.124847
A7_l1reg,0.508369,62802231.311798,425539898.872375,0.446599,15888948822.021484,0.570139,215848863.124847
A8_l2reg,0.508370,62801879.644394,425574207.305908,0.446603,15888886260.986328,0.570138,215848863.124847
A3_neural_ode_gru,0.634609,0.000000,26619593.799114,0.480208,0.000000,0.789011,3263966308593.750000
