run,nrmse,CH4,O2,H2O,CO,CO2,H2,H,O,OH,HO2,H2O2,CH3,CH2O,N2
A5_kovacs54_unbounded,0.457781,0.442986,1.093121,0.479818,0.479839,0.424813,0.759871,0.300546,0.018806,0.039902,0.318730,0.316732,0.281757,0.378887,1.073128
A6_kovacs54_bounded,0.457781,0.442986,1.093121,0.479818,0.479839,0.424813,0.759871,0.300546,0.018806,0.039902,0.318730,0.316732,0.281757,0.378887,1.073128
A4_neural_ode_mlp,0.571592,0.437485,0.231269,0.564260,0.479839,0.424813,3.694227,0.300546,0.018806,0.039902,0.318730,0.316732,0.281757,0.378887,0.515030
A3_neural_ode_gru,0.611449,0.530597,0.268595,0.564260,0.479839,0.424813,4.117530,0.300546,0.018806,0.039902,0.318730,0.316732,0.281757,0.378887,0.519293
