run,nrmse,R,O,m,mm,p,pm,DNA
lrsuper_s3_sp42,0.437588,11333748.325706,68691739.439964,1213647556.304932,0.294925,11528076553.344727,0.580251,201166546.344757
bottle_s2_sp5,0.469437,28881806.135178,28697414.696217,418382096.290588,0.374639,31557495117.187500,0.564235,201141512.393951
bottle_s3_sp5,0.473644,12667381.763458,15405728.667974,369149351.119995,0.344782,12823205947.875977,0.602507,201141512.393951
lrsuper_s2_sp42,0.479570,14281214.028597,59169283.509254,3310721015.930176,0.395564,25368565368.652344,0.563577,201166546.344757
bottle_s1_sp42,0.526520,26791994.273663,14449837.058783,704739546.775818,0.480138,111098199462.890625,0.572901,201166546.344757
lrsuper_s1_sp5,0.544427,11958336.457610,12459422.647953,3921038818.359375,0.441117,36574305725.097656,0.647736,201141512.393951
