run,nrmse,M,P,P_fluor,r2_pm_final,r2_mm_max
M3_two_state_y0,118390254.550896,23190527.738073,213589981.363720,,0.355561,0.518223
M3_two_state_base,118390254.550896,23190527.738073,213589981.363720,,0.355561,0.518223
M4_three_state_y0,146230848.493935,17420624.998629,,275041071.989242,0.171220,0.388233
M4_three_state_base,146230848.493935,17420624.998629,,275041071.989242,0.171220,0.388233
