run,nrmse,R,O,m,mm,p,pm,DNA
A2_sample_theta,78209694.453496,54076816.126463,86721530.340175,161382305.874966,17314628.516717,21268648338.629936,139104760.390274,0.000000
A1_fixed_theta,82844335.810906,55886004.744333,68684137.973053,295897659.601295,16211969.995087,16872973004.751720,149476701.626724,0.000000
A3_neural_ode_gru,102618642.722457,56125768.303497,3841413504318.199707,640377.996137,0.390206,516369681.649472,205237285.054708,4337792297652.068359
A4_neural_ode_mlp,1744187029069.384277,100000000000000.000000,100000000000000.000000,100000000000000.000000,2325582372092.733398,100000000000000.000000,1162791686046.035156,100000000000000.000000
A4_neural_ode_mlp,1744187029069.384277,100000000000000.000000,100000000000000.000000,100000000000000.000000,2325582372092.733398,100000000000000.000000,1162791686046.035156,100000000000000.000000
A9_neural_correction,1744187029069.384277,100000000000000.000000,100000000000000.000000,100000000000000.000000,2325582372092.733398,100000000000000.000000,1162791686046.035156,100000000000000.000000
