run,nrmse,R,O,m,mm,p,pm,DNA
A1_fixed_theta,0.379866,57278091.351902,76615844.073546,244021534.828520,0.310859,13284030755.297157,0.448873,201091253.757477
A2_sample_thet,0.391450,51452560.555455,92359343.464142,109618880.798416,0.308558,23909629628.824547,0.474341,201091253.757477
A3_neural_ode_gru,0.532774,407433938.980103,997663671875.000000,281660211.086273,0.395865,481024193.763733,0.669683,1165215722656.250000
A4_neural_ode_mlp,986825.646754,98682623597845.046875,98682623597845.046875,22749262496140172145040872335328248674123776.000000,986825.686688,35180649543939201570949560351330893943537664.000000,986825.606819,31744200834942475916735741975518122073915392.000000
