run,nrmse,CH4,O2,CO,CO2,H2O,OH,NO
A3_neural_ode_gru,0.033716,0.009218,0.009637,0.051521,0.051692,0.047450,0.049000,0.017495
A4_neural_ode_mlp,0.082164,0.010222,0.025570,0.084728,0.150925,0.103789,0.135924,0.063988
A2_sample_theta,1.710222,1.440388,0.763811,2.720618,1.720131,2.451939,0.833760,2.040907
A5_unbounded,2.950395,0.385708,0.130809,6.753214,12.222001,0.765575,0.310775,0.084686
A8_l2reg,2.994371,0.595514,0.472681,7.493549,9.198924,2.164369,0.670228,0.365330
A1_fixed_theta,3.104017,0.723475,0.633922,9.899988,6.934306,2.233680,0.925119,0.377628
A6_baseline,3.107591,0.299257,0.221038,8.072033,11.968922,0.704009,0.371277,0.116602
A7_l1reg,3.822756,0.653408,0.507878,0.837152,20.983229,3.194393,0.401132,0.182101
