run,nrmse,A,C
A5_unbounded,0.012044,0.010225,0.013863
A6_baseline,0.014908,0.011983,0.017834
A7_l1reg,0.015582,0.013437,0.017727
A8_l2reg,0.015893,0.013104,0.018681
A3_neural_ode_gru,0.020473,0.015470,0.025476
A4_neural_ode_mlp,0.318870,0.227419,0.410321
A1_fixed_theta,0.413236,0.260829,0.565644
A2_sample_theta,0.421584,0.258676,0.584493
