run,nrmse,CH4,O2,H2O,CO,CO2,H2,H,O,OH,HO2,H2O2,CH3,CH2O,N2
E3_ode_rnn_kovacs54_full14_endpts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
D1_neural_ode_gru_full14,1.376539,0.334828,0.264448,0.404754,0.159454,0.218469,15.881357,0.110869,0.639918,0.286360,0.139833,0.145122,0.128763,0.228470,0.328898
D3_ode_rnn_kovacs54_full14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
D5_neural_ode_mlp_full14,1.320042,0.334828,0.261272,0.323819,0.159454,0.220816,15.892787,0.109462,0.094863,0.117572,0.139833,0.146257,0.128763,0.228470,0.322397
E5_neural_ode_mlp_full14_endpts,1.333712,0.334828,0.267289,0.404754,0.159454,0.279483,15.881357,0.109462,0.094863,0.117572,0.139833,0.145122,0.128763,0.228470,0.380716
E1_neural_ode_gru_full14_endpts,1.352796,0.334828,0.271930,0.348941,0.160097,0.217416,15.881357,0.109462,0.413346,0.202426,0.139833,0.145122,0.128763,0.228470,0.357160
