run,nrmse,R,O,m,mm,p,pm,DNA
anchor_log1p_and_mean,0.476966,57566216.588020,84313023.090363,242756247.520447,0.343753,19194940185.546875,0.610178,201166546.344757
mean_only_no_log,0.501496,36717700.958252,45520536.601543,305766272.544861,0.350107,655753159.523010,0.652886,201166546.344757
nrmse_mean,0.505541,51223102.211952,31520479.917526,143907022.476196,0.344880,450903177.261353,0.666202,201166546.344757
log1p_no_mean,0.505768,46759586.036205,39205956.459045,20619803.667068,0.346655,329860794.544220,0.664881,201166546.344757
