run,nrmse,CH4,O2,CO,CO2,H2O,OH,NO
A3_neural_ode_gru,0.033716,0.009218,0.009637,0.051521,0.051692,0.047450,0.049000,0.017495
A4_neural_ode_mlp,0.082164,0.010222,0.025570,0.084728,0.150925,0.103789,0.135924,0.063988
A6_baseline,2.612417,0.499886,0.087493,5.886662,11.375221,0.249496,0.122118,0.066040
A8_l2reg,2.714013,0.479359,0.165996,6.205379,11.481707,0.381594,0.238882,0.045172
A7_l1reg,2.723323,0.481233,0.168416,6.052325,11.606657,0.416979,0.287217,0.050437
A2_sample_theta,2.734449,0.578704,0.249813,8.989229,7.707519,0.637155,0.894338,0.084384
A5_unbounded,2.738029,0.479193,0.085751,6.136356,11.871088,0.368135,0.168493,0.057187
A1_fixed_theta,3.041423,0.484559,0.405393,9.700987,8.905130,0.894936,0.736220,0.162736
