run,nrmse,R,O,m,mm,p,pm,DNA
h300,2003504.396964,60795872.536653,53609647.514725,360035849.333079,3320184.717321,26210382559.617470,686824.076607,0.000000
h400,2608092.457429,62306567.721933,58224625.655467,330047415.659360,4170090.778545,17267713227.076126,1046094.136314,0.000000
h800,3036237.651216,66542440.254747,62612504.912972,298957942.602688,1068404.013295,28000494384.062283,5004071.289136,0.000000
h600,4197244.795644,62317602.615384,56773937.754789,401574311.088257,6308988.406039,20239473542.654911,2085501.185249,0.000000
h200,94657435.479193,60334133.667457,51437925.404882,416452904.432236,2936435.903700,22410782303.794430,186378435.054685,0.000000
