run,nrmse,Base,Mod,Am,MOF_C
drop0.1,0.141497,0.067993,0.043351,0.182125,0.272519
drop0.2,0.142004,0.067988,0.044185,0.181845,0.273998
drop0,0.142499,0.067987,0.044603,0.182636,0.274771
