run,nrmse,R,O,m,mm,p,pm,DNA
A4_gru,0.287765,56742868.865753,81813448.177478,389217405.655141,0.217670,16085613365.800941,0.357860,0.000000
A3_neural_ode_gru,0.400192,980791463560.800537,877160587458.054932,991708781.648838,0.297223,569811475635.316406,0.503161,4589103.014770
A1_fixed_theta,0.461110,54778016.321726,67706378.329896,291117030.606953,0.377360,16795012603.577023,0.544859,0.000000
A2_sample_theta,0.467080,52967676.373598,86217455.113580,158638515.286243,0.392174,21297701592.324322,0.541987,0.000000
A4_neural_ode_mlp,0.513686,0.000000,0.000000,502103542124100.937500,0.360588,0.000000,0.666784,1075904673871194.000000
A9_neural_correction,999999.602534,100000000000000.000000,100000000000000.000000,100000000000000.000000,999999.755838,100000000000000.000000,999999.449229,100000000000000.000000
