run,nrmse,CH4,O2,CO,CO2,H2O,OH,NO
A3_neural_ode_gru,0.042424,0.010483,0.011696,0.064093,0.064111,0.063870,0.059787,0.022925
A4_neural_ode_mlp,0.099951,0.012261,0.032393,0.094134,0.170559,0.159529,0.157611,0.073172
A6_baseline,2.687938,0.612777,0.089128,5.961738,11.464191,0.475739,0.137017,0.074980
A5_unbounded,2.766765,0.584302,0.089106,6.223394,11.523964,0.701225,0.179617,0.065747
A2_sample_theta,2.806184,0.688993,0.264891,9.078151,7.467460,1.018883,0.973585,0.151325
A8_l2reg,2.811184,0.586954,0.175447,6.227856,11.679266,0.698560,0.259091,0.051114
A7_l1reg,2.839032,0.586646,0.180361,6.150894,11.804047,0.768670,0.324924,0.057684
A1_fixed_theta,3.181300,0.591772,0.420316,9.929689,8.769161,1.503392,0.873767,0.181000
