run,nrmse,Base,Mod,Am,MOF_C
old_bias_bug,0.139695,0.041464,0.041717,0.189713,0.285886
init_1_fix,0.156492,0.033909,0.058649,0.193980,0.339430
default_pytorch_bias,0.226515,0.034033,0.096961,0.472993,0.302073
run,0.400668,0.052882,0.156108,1.155426,0.238256
