run,nrmse,A,C
A5_unbounded,0.008608,0.007084,0.010133
A6_baseline,0.011908,0.010740,0.013076
A8_l2reg,0.012925,0.011295,0.014556
A7_l1reg,0.013736,0.012330,0.015142
A3_neural_ode_gru,0.015021,0.012250,0.017792
A4_neural_ode_mlp,0.222009,0.199382,0.244637
A2_sample_theta,0.244358,0.239519,0.249197
A1_fixed_theta,0.252778,0.251558,0.253998
