run,nrmse,CH4,O2,CO,CO2,H2O
A4_neural_ode_mlp,0.076377,0.006988,0.033544,0.113215,0.126359,0.101778
A4_neural_ode_mlp,0.076377,0.006988,0.033544,0.113215,0.126359,0.101778
A3_neural_ode_gru,0.093639,0.019293,0.023728,0.146580,0.185057,0.093537
A3_neural_ode_gru,0.104422,0.018012,0.024851,0.142967,0.236639,0.099641
A6_baseline,3.880531,0.985166,1.020158,1.432183,11.592838,4.372308
A6_baseline,3.880544,0.985159,1.020152,1.432252,11.592821,4.372333
A5_unbounded,3.891922,0.981560,1.021641,1.487005,11.572673,4.396731
A5_unbounded,3.900373,0.977681,1.013937,1.518185,11.597490,4.394571
