run,nrmse,Base,Mod,SBU,Am,Nuc_C,MOF_C
mof6_transformer,0.050809,0.056725,0.047373,0.051043,0.054282,0.045551,0.049882
mof6_gru,0.050826,0.023378,0.047373,0.075093,0.084885,0.039639,0.034590
mof6_mamba_ssm,0.054751,0.021842,0.047373,0.082673,0.081617,0.045877,0.049126
