run,nrmse,Base,Mod,SBU,SBU_capped,Nuc_A,Am,Nuc_C,MOF_C
transformer_bs32,0.291990,0.076588,0.013190,0.053860,0.322072,0.251588,0.069771,1.462147,0.086702
transformer_bs128,0.291990,0.076588,0.013190,0.053860,0.322072,0.251588,0.069771,1.462147,0.086702
transformer_bs512,0.291990,0.076588,0.013190,0.053860,0.322072,0.251588,0.069771,1.462147,0.086702
transformer_bs1000,0.291990,0.076588,0.013190,0.053860,0.322072,0.251588,0.069771,1.462147,0.086702
