run,nrmse,CH4,O2,H2O,CO,CO2,H2,H,O,OH,HO2,H2O2,CH3,CH2O,N2
A4_neural_ode_mlp,486.514980,0.378596,0.227898,0.423329,0.697536,4.718186,0.530009,494.822309,1953.799400,4354.198539,0.224653,0.227088,0.249855,0.382389,0.329934
A3_neural_ode_gru,486.520173,0.381804,0.238564,0.425238,0.721346,4.718186,0.537321,494.822309,1953.799400,4354.198539,0.255808,0.239012,0.260328,0.339457,0.345116
A6_kovacs54_bounded,486.608725,0.393016,0.883468,0.423627,0.695698,4.718186,0.572656,494.822309,1953.799400,4354.198539,0.248582,0.268416,0.253352,0.365537,0.879367
A5_kovacs54_unbounded,486.608725,0.393016,0.883468,0.423627,0.695698,4.718186,0.572656,494.822309,1953.799400,4354.198539,0.248582,0.268416,0.253352,0.365537,0.879367
