run,nrmse,Glc,Pyr,ATP,NADH
A4_neural_ode_mlp_n100,0.023164,0.027530,0.014050,0.015377,0.035698
A2_sample_theta_n100,0.037361,0.028886,0.094378,0.015209,0.010972
A7_l1reg_n100,0.038258,0.032950,0.089822,0.015870,0.014389
A5_unbounded_n100,0.039463,0.084349,0.044557,0.014837,0.014111
A6_baseline_n100,0.041486,0.034560,0.094275,0.021459,0.015652
A9_neural_ode_correction_n100,0.051623,0.045864,0.094380,0.022455,0.043793
A3_neural_ode_gru_n100,0.079672,0.174409,0.069516,0.030643,0.044120
A1_fixed_theta_n100,1.491158,2.721710,0.159455,1.949793,1.133672
