run,nrmse,CH4,O2,CO2
A4_neural_ode_mlp,0.064979,0.009045,0.040054,0.145838
A3_neural_ode_gru,0.067912,0.020874,0.039539,0.143323
A6_baseline,9.909318,0.268492,0.170697,29.288766
A5_unbounded,10.039754,0.268166,0.174631,29.676464
