run,nrmse,M,P,P_fluor,r2_pm_final,r2_mm_max
M3_two_state_y0,0.380677,0.264101,0.497253,,0.355561,0.518223
M3_two_state_base,0.380677,0.264101,0.497253,,0.355561,0.518223
M4_three_state_y0,0.411985,0.246750,,0.577220,0.171220,0.388233
M4_three_state_base,0.411985,0.246750,,0.577220,0.171220,0.388233
