run,nrmse,R,m,mm,p,pm,DNA
A2_sample_theta,250296698.465240,56268979.236484,173968836.292624,15779799.089930,8152122294.902802,484813597.840549,215643092.431128
A1_fixed_theta,289444910.920559,59875390.585512,215700973.011553,17949671.951068,8801477181.911469,560940149.890051,215643092.431128
A7_l1reg,385009968.674575,62807967.048138,425007116.794586,30990167.901637,15818023633.956909,739029769.447513,215643092.431128
A8_l2reg,385011919.236578,62807676.196098,425040698.796511,30990254.328375,15817960524.559021,739033584.144782,215643092.431128
A6_baseline,385025723.672403,62807922.437787,425053914.636374,30991684.839885,15819246244.430542,739059762.504920,215643092.431128
A4_neural_ode_mlp,nan,nan,nan,nan,nan,nan,nan
A5_unbounded,nan,nan,nan,nan,nan,nan,215643092.431128
A3_neural_ode_gru,1144133743.268791,0.000000,27090154.890902,0.966091,0.000000,2288267485.571491,3273810760498.046875
