family,study,scaffold_label,scaffold,model_key,model_label,supervision,n,seed,nrmse_median,nrmse_mean,n_species,run,dataset_path
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,node_mlp,NODE-MLP,first_last,3,,0.7287944988482031,0.7287944988482031,2,A4_neural_ode_mlp_first_last_n3,datasets/single_enzyme/single_enzyme_lumped_n3.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,baseline,CMVF,first_last,3,,0.525764027766451,0.525764027766451,2,A6_baseline_first_last_n3,datasets/single_enzyme/single_enzyme_lumped_n3.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,node_gru,NODE-GRU,first_last,3,,0.7760076778906217,0.7760076778906217,2,A3_neural_ode_gru_first_last_n3,datasets/single_enzyme/single_enzyme_lumped_n3.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,node_corr,NODE-correction,full,3,,0.4236921456816737,0.4236921456816737,2,A9_neural_ode_correction_n3,datasets/single_enzyme/single_enzyme_lumped_n3.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,baseline,CMVF,full,10,,0.14803983752427186,0.14803983752427186,2,A6_baseline_n10,datasets/single_enzyme/single_enzyme_lumped_n10.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,node_corr,NODE-correction,full,10,,0.08309186851909277,0.08309186851909277,2,A9_neural_ode_correction_n10,datasets/single_enzyme/single_enzyme_lumped_n10.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,node_mlp,NODE-MLP,first_last,100,,0.17990883043732553,0.18137952054944326,2,A4_neural_ode_mlp_first_last_n100,datasets/single_enzyme/single_enzyme_lumped_n100.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,node_mlp,NODE-MLP,first_last,10,,0.11631146331697165,0.11631146331697165,2,A4_neural_ode_mlp_first_last_n10,datasets/single_enzyme/single_enzyme_lumped_n10.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,unbounded,CMVF-unbounded,full,3,,0.6061461204759199,0.6061461204759199,2,A5_unbounded_n3,datasets/single_enzyme/single_enzyme_lumped_n3.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,baseline,CMVF,first_last,100,,0.04395943420410629,0.04618270322920148,2,A6_baseline_first_last_n100,datasets/single_enzyme/single_enzyme_lumped_n100.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,l1reg,CMVF-L1,full,3,,0.5257489525536595,0.5257489525536595,2,A7_l1reg_n3,datasets/single_enzyme/single_enzyme_lumped_n3.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,node_gru,NODE-GRU,full,100,,0.07726097205975335,0.08264226636150103,2,A3_neural_ode_gru_n100,datasets/single_enzyme/single_enzyme_lumped_n100.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,node_corr,NODE-correction,first_last,100,,0.1707468106850092,0.17666885962260806,2,A9_neural_ode_correction_first_last_n100,datasets/single_enzyme/single_enzyme_lumped_n100.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,node_corr,NODE-correction,first_last,3,,0.4236921456816737,0.4236921456816737,2,A9_neural_ode_correction_first_last_n3,datasets/single_enzyme/single_enzyme_lumped_n3.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,baseline,CMVF,first_last,10,,0.14803983752427186,0.14803983752427186,2,A6_baseline_first_last_n10,datasets/single_enzyme/single_enzyme_lumped_n10.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,node_corr,NODE-correction,first_last,10,,0.08309186851909277,0.08309186851909277,2,A9_neural_ode_correction_first_last_n10,datasets/single_enzyme/single_enzyme_lumped_n10.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,unbounded,CMVF-unbounded,first_last,3,,0.6061461204759199,0.6061461204759199,2,A5_unbounded_first_last_n3,datasets/single_enzyme/single_enzyme_lumped_n3.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,l1reg,CMVF-L1,first_last,3,,0.5257489525536595,0.5257489525536595,2,A7_l1reg_first_last_n3,datasets/single_enzyme/single_enzyme_lumped_n3.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,node_gru,NODE-GRU,first_last,100,,0.07726097205975335,0.08264226636150103,2,A3_neural_ode_gru_first_last_n100,datasets/single_enzyme/single_enzyme_lumped_n100.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,unbounded,CMVF-unbounded,full,100,,0.045648061249569265,0.05483284989223585,2,A5_unbounded_n100,datasets/single_enzyme/single_enzyme_lumped_n100.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,l1reg,CMVF-L1,full,100,,0.042036272132804045,0.04372970362610415,2,A7_l1reg_n100,datasets/single_enzyme/single_enzyme_lumped_n100.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,fixed_theta,Global ($\theta$),full,10,,0.34784120842746985,0.34784120842746985,2,A1_fixed_theta_n10,datasets/single_enzyme/single_enzyme_lumped_n10.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,sample_theta,Initial-condition ($\theta$),full,10,,0.18038157067204597,0.18038157067204597,2,A2_sample_theta_n10,datasets/single_enzyme/single_enzyme_lumped_n10.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,unbounded,CMVF-unbounded,first_last,100,,0.045648061249569265,0.05483284989223585,2,A5_unbounded_first_last_n100,datasets/single_enzyme/single_enzyme_lumped_n100.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,l1reg,CMVF-L1,first_last,100,,0.042036272132804045,0.04372970362610415,2,A7_l1reg_first_last_n100,datasets/single_enzyme/single_enzyme_lumped_n100.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,sample_theta,Initial-condition ($\theta$),first_last,10,,0.18038157067204597,0.18038157067204597,2,A2_sample_theta_first_last_n10,datasets/single_enzyme/single_enzyme_lumped_n10.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,fixed_theta,Global ($\theta$),first_last,3,,0.46593840013969245,0.46593840013969245,2,A1_fixed_theta_first_last_n3,datasets/single_enzyme/single_enzyme_lumped_n3.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,sample_theta,Initial-condition ($\theta$),first_last,1000,,0.24435803899451636,0.4215843257138033,2,A2_sample_theta_first_last_n1000,datasets/single_enzyme/single_enzyme_lumped.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,fixed_theta,Global ($\theta$),first_last,10,,0.34784120842746985,0.34784120842746985,2,A1_fixed_theta_first_last_n10,datasets/single_enzyme/single_enzyme_lumped_n10.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,fixed_theta,Global ($\theta$),first_last,100,,0.20828328238489532,0.2409183370924094,2,A1_fixed_theta_first_last_n100,datasets/single_enzyme/single_enzyme_lumped_n100.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,sample_theta,Initial-condition ($\theta$),first_last,100,,0.21058689385614832,0.26573337758744575,2,A2_sample_theta_first_last_n100,datasets/single_enzyme/single_enzyme_lumped_n100.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,sample_theta,Initial-condition ($\theta$),first_last,3,,0.5003661038168962,0.5003661038168962,2,A2_sample_theta_first_last_n3,datasets/single_enzyme/single_enzyme_lumped_n3.npz
data_ablation,single_enzyme_lumped_data_ablation,Enzyme/2,single_enzyme_lumped,fixed_theta,Global ($\theta$),first_last,1000,,0.2527778495375571,0.41323647248001344,2,A1_fixed_theta_first_last_n1000,datasets/single_enzyme/single_enzyme_lumped.npz
data_ablation,single_enzyme_4_data_ablation,Enzyme/4,single_enzyme_4,node_mlp,NODE-MLP,full,100,,0.027542550933475365,0.04184155758960817,4,A4_neural_ode_mlp_n100,datasets/single_enzyme/single_enzyme_4_n100.npz
data_ablation,single_enzyme_4_data_ablation,Enzyme/4,single_enzyme_4,fixed_theta,Global ($\theta$),full,100,,0.03596732716898644,0.03644620203906855,4,A1_fixed_theta_n100,datasets/single_enzyme/single_enzyme_4_n100.npz
data_ablation,single_enzyme_4_data_ablation,Enzyme/4,single_enzyme_4,baseline,CMVF,full,100,,0.004391238247938151,0.004984319778371986,4,A6_baseline_n100,datasets/single_enzyme/single_enzyme_4_n100.npz
data_ablation,single_enzyme_4_data_ablation,Enzyme/4,single_enzyme_4,sample_theta,Initial-condition ($\theta$),full,100,,0.03382370335957153,0.036110894295541034,4,A2_sample_theta_n100,datasets/single_enzyme/single_enzyme_4_n100.npz
data_ablation,single_enzyme_4_data_ablation,Enzyme/4,single_enzyme_4,node_mlp,NODE-MLP,first_last,100,,0.2373470308222122,0.2649125915713924,4,A4_neural_ode_mlp_first_last_n100,datasets/single_enzyme/single_enzyme_4_n100.npz
data_ablation,single_enzyme_4_data_ablation,Enzyme/4,single_enzyme_4,baseline,CMVF,first_last,100,,0.0044213984207910634,0.005002689633399655,4,A6_baseline_first_last_n100,datasets/single_enzyme/single_enzyme_4_n100.npz
data_ablation,single_enzyme_4_data_ablation,Enzyme/4,single_enzyme_4,node_corr,NODE-correction,full,100,,0.03291107697049928,0.03466883735260454,4,A9_neural_ode_correction_n100,datasets/single_enzyme/single_enzyme_4_n100.npz
