sample_idx,os_mm,ro_mm,os_pm,ro_pm
144,0.205348,0.022185,0.823859,0.379636
145,0.189731,0.009508,0.817250,0.556530
146,0.245798,0.015748,0.779778,0.531681
147,0.240611,0.015728,0.741097,0.532219
148,0.235316,0.010543,0.786797,0.413299
149,0.290628,0.001895,0.693321,0.496346
150,0.153440,0.012152,0.765912,0.681766
151,0.201026,0.005882,0.773728,0.595397
152,0.218413,0.008858,0.770992,0.544379
153,0.251821,0.005488,0.758129,0.627264
154,0.196218,0.006515,0.764570,0.657747
155,0.155780,0.012216,0.769084,0.697254
156,0.197249,0.004479,0.769163,0.680053
157,0.176481,0.021269,0.712920,0.660249
158,0.497058,0.004235,0.057793,2.406222
159,0.100100,0.025841,0.757892,0.650494
160,0.334529,0.015512,0.765724,0.369216
161,0.188313,0.005461,0.746144,0.605549
162,0.481168,0.002105,0.731827,0.140177
163,0.211194,0.007266,0.750918,0.516881
164,0.215955,0.016879,0.795448,0.599661
165,0.209208,0.007681,0.767457,0.552789
166,0.291572,0.017893,0.751225,0.269630
167,0.205760,0.007942,0.758252,0.605680
168,0.179588,0.015172,0.820048,0.500446
169,0.192402,0.017711,0.819276,0.527304
170,0.126783,0.027138,0.821473,0.670419
171,0.218469,0.014773,0.813846,0.459381
172,0.129229,0.011936,0.812792,0.563544
173,0.247642,0.016419,0.796794,0.340455
174,0.380644,0.004186,0.761386,0.147919
175,0.258154,0.014655,0.793916,0.426970
176,0.270139,0.005006,0.772183,0.502154
177,0.247304,0.003347,0.773242,0.562689
178,0.266985,0.003307,0.773005,0.549935
179,0.299992,0.001763,0.766592,0.485470
180,0.315709,0.002487,0.766877,0.479500
181,0.358900,0.001543,0.759615,0.354154
182,0.452456,0.002481,0.749073,0.168410
183,0.465546,0.002043,0.742882,0.189261
184,0.224761,0.013739,0.780158,0.658100
185,0.232765,0.003396,0.775658,0.643806
186,0.259684,0.010694,0.780105,0.592650
187,0.287581,0.013924,0.750241,0.547280
188,0.221536,0.011926,0.731397,0.611117
189,0.237892,0.006793,0.760547,0.590558
190,0.254541,0.009403,0.748024,0.559422
191,0.263388,0.012714,0.743938,0.573803
192,0.423389,0.003153,0.698255,0.641301
193,0.669213,0.009923,0.424742,0.071350
194,0.364618,0.006227,0.691544,0.582423
195,0.657376,0.013977,0.742945,0.421377
196,0.677625,0.019904,0.719800,0.686228
197,0.583468,0.011724,0.597933,0.333096
198,0.704956,0.010844,0.692916,0.305113
199,0.345159,0.005751,0.707095,0.647375
200,0.651476,0.010469,0.603729,0.425715
201,0.560623,0.021402,0.592160,0.565625
202,0.420088,0.009553,0.585906,0.475137
203,0.705301,0.014160,0.628681,0.610462
204,0.358517,0.012767,0.725166,0.503138
205,0.529558,0.014041,0.674716,0.599194
206,0.705255,0.015356,0.108878,0.610027
207,0.461178,0.005025,0.661382,0.577634
208,0.744991,0.014022,0.604804,0.500384
209,0.729559,0.024469,0.599014,0.389280
210,0.626896,0.009928,0.655857,0.040329
211,0.626926,0.004446,0.088416,1.715189
212,0.765858,0.020142,0.630266,0.569667
213,0.566746,0.004276,0.727944,0.588568
214,0.610797,0.029108,0.744046,0.269251
215,0.294230,0.023686,0.825017,0.228072
216,0.272420,0.016822,0.760624,0.598871
217,0.326531,0.037283,0.683832,0.576240
218,0.369017,0.013887,0.700065,0.307829
219,0.415136,0.012772,0.718003,0.483142
220,0.298527,0.025792,0.690097,0.653246
221,0.325487,0.015310,0.696019,0.576876
222,0.241391,0.027258,0.069653,1.092002
223,0.379203,0.006854,0.653815,0.506700
224,0.350480,0.020448,0.084899,1.058544
225,0.199574,0.012242,0.745414,0.512272
226,0.343823,0.009939,0.747444,0.487332
227,0.363395,0.026539,0.696835,0.370609
228,0.236501,0.018669,0.752228,0.644146
229,0.334756,0.006841,0.706697,0.529041
230,0.431569,0.004312,0.675411,0.431381
231,0.328268,0.020925,0.537528,0.760855
232,0.303432,0.029011,0.696811,0.469884
233,0.303950,0.039730,0.073952,0.942851
234,0.356932,0.006578,0.727124,0.347301
235,0.634773,0.004635,0.088117,1.092479
236,0.484957,0.022475,0.739540,0.288537
237,0.348759,0.025826,0.132262,1.220056
238,0.208040,0.027128,0.795221,0.655740
239,0.617398,0.013804,0.671092,0.361060
240,0.371864,0.019928,0.757330,0.042040
241,0.309365,0.016508,0.736961,0.104720
242,0.256345,0.015206,0.746701,0.373479
243,0.657636,0.010706,0.735550,0.187660
244,0.324351,0.008803,0.744805,0.258444
245,0.215110,0.009768,0.718755,0.364304
246,0.212552,0.008405,0.728542,0.365708
247,0.200534,0.007678,0.732165,0.367880
248,0.537938,0.023445,0.724634,0.303814
249,0.440695,0.028281,0.723033,0.276633
250,0.259933,0.015541,0.726330,0.318236
251,0.246022,0.016402,0.702610,0.362392
252,0.193033,0.013667,0.720487,0.461760
253,0.230668,0.013809,0.722359,0.433510
254,0.404648,0.025697,0.713601,0.273013
255,0.459634,0.030388,0.722216,0.323979
256,0.477354,0.033724,0.720659,0.323870
257,0.426280,0.025555,0.727018,0.396220
258,0.287293,0.018394,0.708619,0.356247
259,0.359828,0.012800,0.720448,0.297996
260,0.348458,0.026012,0.712152,0.218585
261,0.414341,0.032976,0.727613,0.207080
262,0.217856,0.022955,0.793533,0.289491
263,0.565613,0.007098,0.704049,0.127213
264,0.246040,0.012640,0.781428,0.366872
265,0.214271,0.012293,0.786161,0.416104
266,0.235024,0.013800,0.780064,0.401601
267,0.204459,0.016008,0.765896,0.460768
268,0.236523,0.011206,0.766910,0.390294
269,0.222769,0.014154,0.773989,0.376661
270,0.253153,0.014525,0.764722,0.354713
271,0.155323,0.018955,0.778163,0.467445
272,0.280137,0.011951,0.742435,0.196170
273,0.218014,0.014762,0.778973,0.433964
274,0.282504,0.013041,0.752883,0.393655
275,0.619479,0.002964,nan,nan
276,0.182035,0.013672,0.723724,0.637650
277,0.190289,0.018125,0.688122,0.615337
278,0.325625,0.025893,0.715780,0.629802
279,0.360996,0.035852,0.687370,0.614159
280,0.438003,0.044591,0.671758,0.565619
281,0.320774,0.046096,0.683963,0.601975
282,0.494086,0.042268,0.655177,0.596266
283,0.538535,0.030053,0.618083,0.553219
284,0.311937,0.016826,0.647780,0.549343
285,0.230578,0.018813,0.685185,0.611540
286,0.377072,0.031895,0.676997,0.619069
287,0.437359,0.029227,0.639400,0.574914
288,0.268902,0.023811,0.696312,0.575078
289,0.468535,0.008244,0.643306,0.168427
290,0.499203,0.033853,0.671883,0.582536
291,0.699422,0.020470,0.640939,0.507519
292,0.755002,0.013112,0.683456,0.487280
293,0.766146,0.011671,0.683069,0.415423
294,0.661269,0.026667,0.678238,0.527439
295,0.576757,0.029725,0.681345,0.465830
296,0.540079,0.015633,0.606781,0.241072
297,0.649954,0.010178,0.120949,0.483080
298,0.355136,0.016787,0.712511,0.289978
299,0.242988,0.016620,0.734383,0.648710
300,0.374330,0.003492,0.661453,0.425830
301,0.349988,0.002979,0.733042,0.328927
302,0.289888,0.005171,0.674274,0.523859
303,0.306614,0.005641,0.756998,0.372278
304,0.339992,0.006406,0.651163,0.360786
305,0.338358,0.006342,0.652951,0.264249
306,0.276606,0.006682,0.122668,1.119416
307,0.295247,0.008887,0.150536,1.234365
308,0.290392,0.004349,0.573942,0.190779
309,0.288181,0.003767,0.548088,0.357380
310,0.390432,0.009908,0.255030,0.264887
311,0.389692,0.011411,0.205535,0.183427
312,0.296397,0.010551,0.181852,0.953812
313,0.320951,0.013070,0.120579,0.879310
314,0.353299,0.014661,0.751839,0.187837
315,0.338462,0.019564,0.722491,0.169180
316,0.311275,0.008239,0.753493,0.399604
317,0.323534,0.010740,0.764485,0.288594
318,0.346745,0.008771,nan,nan
319,0.498182,0.019826,0.094375,1.107195
320,0.382724,0.007722,0.765959,0.203256
321,0.372776,0.006612,0.750418,0.243617
322,0.280835,0.009611,0.830664,0.116239
323,0.263058,0.017027,0.820552,0.295662
324,0.237016,0.011414,0.402288,0.718550
325,0.354868,0.018824,0.470269,0.232654
326,0.314144,0.015079,0.675004,0.344685
327,0.254310,0.019621,0.532275,0.588061
328,0.287752,0.003943,0.748482,0.465527
329,0.295402,0.015619,0.059498,0.772999
330,0.328161,0.003308,0.690566,0.255619
331,0.335247,0.026642,0.427267,0.228823
332,0.309110,0.018790,0.793559,0.324015
333,0.306809,0.006856,0.374680,0.193572
334,0.434871,0.002274,0.057964,0.855808
335,0.230171,0.012190,0.697095,0.429736
336,0.277870,0.015599,0.725172,0.449750
337,0.324416,0.016350,0.047352,0.334813
338,0.495214,0.012165,0.622418,0.325528
339,0.262593,0.009954,0.762438,0.423870
340,0.346335,0.016331,0.057818,0.785599
341,0.686014,0.020895,0.681361,0.388640
342,0.389590,0.020056,0.663436,0.616724
343,0.657906,0.017389,0.640805,0.508768
344,0.302635,0.018315,0.551478,0.360903
345,0.604045,0.008455,0.087351,1.074334
346,0.249358,0.023338,0.800604,0.476460
347,0.268277,0.010929,0.790118,0.446330
348,0.508297,0.008073,0.616649,0.387704
349,0.321526,0.011896,0.644599,0.590343
350,0.349971,0.017518,0.694415,0.538955
351,0.339073,0.014371,0.685282,0.465890
352,0.281135,0.013759,0.632702,0.518147
353,0.280735,0.010054,0.630668,0.516731
354,0.361487,0.006292,0.635749,0.412843
355,0.369143,0.004948,0.611436,0.395023
356,0.369628,0.006226,0.624083,0.417426
357,0.366260,0.005075,0.609458,0.430262
358,0.289373,0.021098,0.616922,0.578748
359,0.399062,0.020692,0.611159,0.549713
360,0.438626,0.020998,0.596177,0.502715
361,0.410935,0.014091,0.608233,0.523699
362,0.417736,0.026493,0.590846,0.533360
363,0.454062,0.021552,0.591103,0.516189
364,0.442449,0.020220,0.633436,0.500723
365,0.708023,0.023029,0.127016,1.518051
366,0.485182,0.007109,0.632751,0.290863
367,0.557517,0.005915,0.631984,0.185144
368,0.459042,0.007262,0.548596,0.209513
369,0.412315,0.007773,0.565705,0.232227
370,0.257940,0.010471,0.783133,0.491053
371,0.232174,0.011265,0.778083,0.499731
372,0.794707,0.009147,0.084897,0.931310
373,0.777667,0.010764,0.077410,0.491109
374,0.320684,0.014746,0.686202,0.307078
375,0.155776,0.022598,0.736418,0.690577
376,0.171321,0.010861,0.739964,0.698509
377,0.142092,0.015805,0.718000,0.675693
378,0.153076,0.024339,0.730084,0.704484
379,0.144644,0.019299,0.729033,0.692827
380,0.135420,0.012539,0.731984,0.686550
381,0.145196,0.015439,0.726279,0.667769
382,0.147944,0.012878,0.715016,0.681549
383,0.140735,0.013072,0.711776,0.668542
384,0.160698,0.014907,0.720647,0.685418
385,0.149520,0.012584,0.713123,0.668951
386,0.156425,0.014541,0.715766,0.680068
387,0.205144,0.026043,0.708871,0.678787
388,0.162034,0.011543,0.713778,0.660473
389,0.119398,0.017793,0.708502,0.675451
390,0.176007,0.020208,0.714548,0.671593
391,0.147768,0.022389,0.701765,0.672350
392,0.668678,0.014479,0.092488,1.156805
393,0.718338,0.018307,0.088330,1.518639
394,0.100100,0.032330,0.790129,0.664955
395,0.104277,0.035185,0.784282,0.545798
396,0.329458,0.012446,0.780246,0.696279
397,0.323097,0.006709,0.731662,0.617165
398,0.349564,0.012309,0.773267,0.476647
399,0.368429,0.014117,0.726034,0.689250
400,0.351581,0.012005,0.727426,0.649509
401,0.438486,0.011763,0.704397,0.654057
402,0.423573,0.010339,0.686355,0.633144
403,0.413386,0.014479,0.685258,0.633752
404,0.406303,0.012771,0.674077,0.623773
405,0.584759,0.011996,0.665283,0.612187
406,0.567133,0.009021,0.627788,0.576970
407,0.495558,0.012707,0.663317,0.634295
408,0.734969,0.014335,0.678922,0.623270
409,0.733282,0.016956,0.665556,0.605299
410,0.481864,0.009859,0.668250,0.599082
411,0.564849,0.010552,0.702755,0.617710
412,0.542640,0.006730,0.671717,0.582823
413,0.782465,0.013459,0.669797,0.596686
414,0.648547,0.012183,0.073649,0.993565
415,0.575338,0.005328,0.079306,1.224642
416,0.412853,0.029952,0.077231,1.087565
417,0.546699,0.029164,0.078131,0.982152
418,0.423517,0.017609,0.794246,0.356957
419,0.561345,0.022251,0.775150,0.403579
420,0.690459,0.023923,0.770531,0.257391
421,0.233161,0.016280,0.811975,0.539673
422,0.382332,0.018776,0.729832,0.601355
423,0.312404,0.007816,0.730833,0.642161
424,0.339839,0.006336,0.747382,0.516390
425,0.372041,0.004160,0.740298,0.509853
426,0.174230,0.009437,0.751571,0.673511
427,0.310279,0.021220,0.762288,0.615086
428,0.344852,0.028233,0.764925,0.436105
429,0.385516,0.017188,0.724251,0.617189
430,0.310596,0.006927,0.698757,0.573529
431,0.331103,0.011252,0.752818,0.631497
432,0.268952,0.006651,0.740200,0.692339
433,0.186230,0.017139,0.681904,0.524737
434,0.548841,0.008620,0.667949,0.468604
435,0.345677,0.024061,0.758911,0.566780
436,0.399436,0.014553,0.767352,0.433465
437,0.271453,0.014629,0.767670,0.661173
438,0.419123,0.003020,0.745413,0.377919
439,0.337488,0.019893,0.756223,0.542078
440,0.376496,0.010673,0.784382,0.429421
441,0.345870,0.010903,0.780427,0.334199
442,0.329214,0.025487,0.769394,0.429439
443,0.456176,0.018737,0.738023,0.680094
444,nan,nan,0.813877,0.619217
445,nan,nan,0.819751,0.645556
446,nan,nan,0.740804,0.692484
447,0.170709,0.030900,0.702691,0.644267
448,0.159324,0.005299,0.697846,0.529888
449,0.250737,0.002267,0.699112,0.598074
450,nan,nan,0.732470,0.688424
451,0.057793,0.018960,0.720768,0.670767
452,nan,nan,0.720173,0.658635
453,nan,nan,0.748627,0.680717
454,0.183283,0.004442,0.743395,0.615164
455,nan,nan,0.699729,0.657857
456,0.192121,0.006525,0.704433,0.672621
