scaffold,label,P,theta_dim,N,trajR2_mRNA,trajR2_protein,nrmse_mRNA,nrmse_protein,endpointR2_mRNA,endpointR2_protein
txtl_resource_and_maturation_dna,M5,7,7,80,0.9802,0.1594,0.0128,0.0964,0.9988,-0.6016
txtl_model3_two_state,M3,3,4,80,0.9267,0.4964,0.0246,0.0746,0.8976,-0.1479
