sample_idx,os_mm,ro_mm,os_pm,ro_pm
555,0.017584,0.005703,0.004377,0.668570
556,nan,nan,0.037899,0.413335
557,0.065745,0.043662,0.013152,0.557778
558,nan,nan,0.006392,0.651697
559,nan,nan,0.009615,0.635100
560,0.018265,0.009606,0.005644,0.630404
561,0.006793,0.001437,0.006105,0.323825
562,nan,nan,0.007812,0.608863
563,nan,nan,0.005969,0.670044
564,nan,nan,0.003865,0.649923
565,nan,nan,0.004772,0.639701
566,0.039100,0.025406,0.008146,0.651311
567,0.036828,0.027956,0.004653,0.688631
568,nan,nan,0.005672,0.644031
569,nan,nan,0.005318,0.691208
570,0.045178,0.029460,0.007973,0.639120
571,0.013859,0.004609,0.018978,0.506558
572,0.009337,0.001866,0.003627,0.585393
573,nan,nan,0.004567,0.691739
574,0.029567,0.019937,0.004568,0.680981
575,nan,nan,0.006082,0.663576
576,0.008902,0.003303,0.003545,0.494259
577,0.007946,0.001438,0.003534,0.493076
578,0.007702,0.002711,0.003482,0.489229
579,0.007839,0.001536,0.003762,0.471186
580,0.007380,0.001691,0.003522,0.469676
581,0.008372,0.002932,0.003962,0.471889
582,nan,nan,0.014644,0.643204
583,0.024194,0.015022,0.007751,0.702202
584,0.033719,0.029645,0.006659,0.694919
585,nan,nan,0.008206,0.645602
586,0.029567,0.019427,0.006682,0.692458
587,0.029534,0.023720,0.006710,0.700471
588,0.041815,0.025753,0.006824,0.703018
589,0.029534,0.023712,0.006907,0.693028
590,0.035868,0.028604,0.007451,0.661173
591,nan,nan,0.008431,0.637709
592,nan,nan,0.008194,0.646957
593,nan,nan,0.008664,0.647542
594,nan,nan,0.008437,0.669574
595,nan,nan,0.008657,0.653100
596,0.051379,0.054568,0.004009,0.609187
597,0.032219,0.024889,0.004069,0.603798
598,0.007933,0.001476,0.003419,0.503945
599,0.036096,0.021016,0.003731,0.644342
600,0.029156,0.018430,0.003463,0.639260
601,0.030218,0.017269,0.003747,0.643731
602,0.015377,0.009561,0.002881,0.663327
603,nan,nan,0.010072,0.645660
604,0.040195,0.022681,0.004449,0.596610
605,0.035084,0.019812,0.003329,0.646642
606,0.065252,0.045664,0.005949,0.521654
607,0.043270,0.028730,0.004595,0.690027
608,0.009975,0.003537,0.003569,0.554795
609,0.052242,0.034463,0.005213,0.609396
610,0.050636,0.033998,0.004296,0.611664
611,0.042870,0.029485,0.003418,0.702829
612,nan,nan,0.006163,0.629089
613,0.042838,0.021042,0.004600,0.467816
614,0.059874,0.041114,0.004299,0.651453
615,0.038481,0.023849,0.005239,0.625423
616,0.064922,0.044286,0.004166,0.607862
617,0.035302,0.030495,0.004230,0.661932
618,0.037514,0.023130,0.005711,0.672165
619,0.046944,0.027794,0.003599,0.624654
620,nan,nan,0.003786,0.659593
621,0.045000,0.030083,0.004370,0.643006
622,0.041172,0.026166,0.005821,0.583062
623,0.017205,0.005098,0.004406,0.606482
624,0.012122,0.005780,0.003927,0.637982
625,0.021899,0.011331,0.003588,0.684042
626,0.010337,0.004275,0.003215,0.660376
627,0.034015,0.019491,0.011395,0.654384
628,0.010341,0.003656,0.036551,3.026950
629,0.041822,0.025528,0.008861,0.646698
630,0.031969,0.014237,0.007517,0.320575
631,0.012222,0.004737,0.004743,0.589595
632,0.006272,0.001809,0.007090,0.138856
633,0.030507,0.020534,0.004675,0.323669
634,0.019584,0.006497,0.004389,0.448615
635,0.024946,0.015332,0.003401,0.581710
636,0.017445,0.006695,0.004525,0.526407
637,0.025205,0.017016,0.004471,0.218078
638,0.014565,0.006693,0.003601,0.579653
639,0.020486,0.008856,0.004086,0.496612
640,0.024199,0.014078,0.004286,0.512108
641,0.021207,0.014708,0.003807,0.503483
642,0.012922,0.009708,0.006671,0.359941
643,0.007613,0.001246,0.004004,0.479800
644,0.026757,0.011068,0.003959,0.673078
645,0.018079,0.005311,0.004812,0.559493
646,0.020307,0.008266,0.005131,0.523761
647,0.011397,0.002653,0.003527,0.541505
648,0.009392,0.002970,0.003503,0.521307
649,0.008188,0.001207,0.003661,0.461992
650,0.007393,0.002091,0.004171,0.455502
651,0.006638,0.001125,0.004860,0.337636
652,0.006505,0.002148,0.006293,0.154049
653,0.006325,0.001711,0.006622,0.170743
654,0.021351,0.012832,0.003343,0.643371
655,0.013265,0.003030,0.003639,0.621948
656,0.016455,0.009788,0.003487,0.580663
657,0.021950,0.013939,0.004101,0.451364
658,0.018915,0.012899,0.003335,0.529405
659,0.020905,0.011224,0.003308,0.576117
660,0.015369,0.005907,0.003317,0.570885
661,0.018057,0.008662,0.003362,0.540742
662,0.018460,0.011798,0.003772,0.549770
663,0.026138,0.016876,0.004169,0.480075
664,0.037086,0.025613,0.003892,0.649943
665,0.020812,0.013643,0.004336,0.428269
666,0.022877,0.011187,0.004676,0.521080
667,0.030943,0.015408,0.004955,0.292420
668,0.009844,0.003839,0.012488,0.035769
669,0.027180,0.013461,0.003801,0.378351
670,0.009923,0.004532,0.003703,0.487177
671,0.018435,0.008219,0.003280,0.559300
672,0.015196,0.004842,0.002942,0.649472
673,0.015530,0.004708,0.003023,0.625194
674,0.020436,0.010636,0.003011,0.568776
675,0.015716,0.007555,0.003181,0.649141
676,0.020503,0.009865,0.003212,0.614142
677,0.020188,0.013029,0.003342,0.418413
678,0.018185,0.009476,0.003499,0.534426
679,0.018416,0.009843,0.003553,0.560919
680,0.016815,0.008319,0.003504,0.495711
681,0.022572,0.015607,0.003623,0.456338
682,0.011950,0.004870,0.049898,0.416018
683,0.025271,0.014321,0.005513,0.330694
684,0.024420,0.011868,0.006221,0.305966
685,0.007241,0.002429,nan,nan
686,0.024818,0.011597,0.007376,0.232780
687,0.023106,0.011393,0.006221,0.309238
688,0.024641,0.012448,0.006781,0.302316
689,0.029912,0.014718,0.007371,0.360268
690,0.023485,0.009917,0.007197,0.268432
691,0.024382,0.012447,0.007285,0.247488
692,0.026876,0.013196,0.007168,0.228202
693,0.031093,0.017912,0.006978,0.333739
694,0.021085,0.011034,0.008318,0.043946
MEAN,0.023075,0.014586,0.015357,0.512980
