ep   36 | train 1.070483 | val 2.301055 | best 1.877532 | tf=1  [mm:1.9221  pm:4.6202] | 81.81s
ep   37 | train 1.048089 | val 2.301503 | best 1.877532 | tf=1  [mm:1.9477  pm:4.6187] | 81.63s
ep   38 | train 1.043016 | val 2.447408 | best 1.877532 | tf=1  [mm:1.9668  pm:5.0056] | 81.70s
ep   39 | train 1.039839 | val 1.924378 | best 1.877532 | tf=1  [mm:1.9071  pm:3.7918] | 82.06s
ep   40 | train 1.062844 | val 1.978490 | best 1.877532 | tf=1  [mm:1.8806  pm:3.9903] | 81.75s
ep   41 | train 1.000454 | val 2.070435 | best 1.877532 | tf=1  [mm:1.8700  pm:4.1526] | 81.85s
ep   42 | train 1.009087 | val 2.326818 | best 1.877532 | tf=1  [mm:1.8607  pm:4.7384] | 81.94s
ep   43 | train 1.051131 | val 2.224040 | best 1.877532 | tf=1  [mm:1.8751  pm:4.4867] | 81.68s
ep   44 | train 0.990609 | val 2.206228 | best 1.877532 | tf=1  [mm:1.9405  pm:4.3785] | 81.63s
ep   45 | train 0.974220 | val 2.273371 | best 1.877532 | tf=1  [mm:1.9691  pm:4.5183] | 81.68s
ep   46 | train 1.076294 | val 2.349761 | best 1.877532 | tf=1  [mm:2.0005  pm:4.6545] | 81.60s
ep   47 | train 0.967663 | val 2.354397 | best 1.877532 | tf=1  [mm:1.9237  pm:4.7514] | 81.75s
ep   48 | train 1.028707 | val 2.293782 | best 1.877532 | tf=1  [mm:1.8955  pm:4.6767] | 81.71s
ep   49 | train 1.010175 | val 2.033704 | best 1.877532 | tf=1  [mm:1.9796  pm:3.9537] | 81.67s
ep   50 | train 0.981042 | val 2.072520 | best 1.877532 | tf=1  [mm:1.8952  pm:4.1243] | 81.78s
ep   51 | train 1.001716 | val 2.270855 | best 1.877532 | tf=1  [mm:2.0751  pm:4.4248] | 81.37s
ep   52 | train 0.963888 | val 2.093535 | best 1.877532 | tf=1  [mm:1.9801  pm:4.0841] | 81.67s
ep   53 | train 0.943256 | val 2.350962 | best 1.877532 | tf=1  [mm:1.9719  pm:4.7043] | 81.52s
ep   54 | train 0.933899 | val 1.965365 | best 1.877532 | tf=1  [mm:1.9301  pm:3.8901] | 82.99s
ep   55 | train 0.930756 | val 2.217142 | best 1.877532 | tf=1  [mm:1.8547  pm:4.5496] | 83.54s
ep   56 | train 0.961284 | val 1.986853 | best 1.877532 | tf=1  [mm:2.0116  pm:3.9110] | 82.55s
ep   57 | train 0.902660 | val 2.141701 | best 1.877532 | tf=1  [mm:1.9821  pm:4.2263] | 83.40s
ep   58 | train 1.007600 | val 2.271556 | best 1.877532 | tf=1  [mm:1.8772  pm:4.5376] | 84.32s
ep   59 | train 0.997831 | val 2.262568 | best 1.877532 | tf=1  [mm:2.1949  pm:4.3304] | 84.43s
ep   60 | train 0.930783 | val 1.965547 | best 1.877532 | tf=1  [mm:2.0556  pm:3.8326] | 84.21s
ep   61 | train 0.957684 | val 2.204567 | best 1.877532 | tf=1  [mm:1.9119  pm:4.3947] | 84.55s
ep   62 | train 0.963656 | val 2.142335 | best 1.877532 | tf=1  [mm:1.9278  pm:4.2924] | 84.27s
ep   63 | train 0.897057 | val 2.218207 | best 1.877532 | tf=1  [mm:1.9274  pm:4.4162] | 84.48s
ep   64 | train 0.898953 | val 2.242220 | best 1.877532 | tf=1  [mm:1.9424  pm:4.4677] | 84.31s
ep   65 | train 0.895149 | val 2.223873 | best 1.877532 | tf=1  [mm:2.0372  pm:4.3114] | 84.45s
ep   66 | train 0.950892 | val 2.257773 | best 1.877532 | tf=1  [mm:2.1096  pm:4.3734] | 84.40s
ep   67 | train 0.903800 | val 2.281088 | best 1.877532 | tf=1  [mm:1.9371  pm:4.5486] | 84.46s
ep   68 | train 0.915292 | val 2.065964 | best 1.877532 | tf=1  [mm:1.9309  pm:4.0947] | 84.22s
