experiment,label,P,sample_idx,species,nrmse
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,138,M,0.8445201430237883
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,141,A,0.0757540334295572
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,141,M,1.1082773925942113
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,149,A,0.05812678720815518
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,149,M,0.886175612755964
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,150,A,0.06668041161131619
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,150,M,0.9179987873881721
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,157,A,0.06399760936239324
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,157,M,0.9459140098225114
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,161,A,0.06370874233774562
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,161,M,0.9481329828550265
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,162,A,0.05450349710940253
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,162,M,0.8763608675303984
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,164,A,0.07147800949162608
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,164,M,1.1783102416926465
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,165,A,0.07890237628674952
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,165,M,0.983477618683357
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,180,A,0.08341606072227929
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,180,M,0.9857562268410306
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,189,A,0.04468249848208221
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,189,M,0.909632121755244
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,199,A,0.07905417563114918
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,199,M,0.9366122608349171
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,202,A,0.06699428942703653
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,202,M,0.9319254167654263
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,214,A,0.06779775693786153
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,214,M,0.8160873140743572
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,221,A,0.06081181857386495
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,221,M,1.0359426183374416
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,225,A,0.055480086299467775
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,225,M,0.8444277752929686
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,232,A,0.09194859962562925
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,232,M,0.9249892356063169
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,236,A,0.0785254633107491
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,236,M,0.9665473768777003
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,252,A,0.06232038409019564
