P,species,n,mean,std,sem,median,q25,q75,iqr
2,combined_mean,200,41863.23372832165,592028.654834855,41862.74764904759,0.48806556726587635,0.46102928672130417,0.5151696573147628,0.054140370593458664
3,combined_mean,200,70254.64356962859,705889.1964061746,49913.903754512874,0.47734020645634384,0.44858585504683557,0.5069608511453074,0.058374996098471854
4,combined_mean,200,204748.57843702345,1096408.483991598,77527.78739809211,0.47536246210330557,0.4489104771302325,0.506020016480571,0.05710953935033852
5,combined_mean,200,254440.01030730433,1280985.4505420446,90579.34986795844,0.4931424133359186,0.4631835697439642,0.5271654496137097,0.06398187986974552
6,combined_mean,200,210857.0346701439,933617.7926858385,66016.74722445727,0.24973093025270263,0.23361820862895194,0.2677536001067014,0.034135391477749466
7,combined_mean,200,130134.92465211525,612754.5009357692,43328.2862814261,0.03162552815951465,0.026307306095309665,0.040356541388194826,0.01404923529288516
8,combined_mean,200,116141.94992458579,483155.1928712375,34164.23132447463,0.1185874433446819,0.11004491298952629,0.1290851087215498,0.019040195732023507
9,combined_mean,200,127259.76313525956,541212.7345646977,38269.51946752127,0.024236854416316372,0.019426701091799635,0.02977828369996645,0.010351582608166814
