P,species,n,mean,std,sem
2,combined,200,41863.23372832165,592028.654834855,41862.74764904759
3,combined,200,70254.64356962859,705889.1964061745,49913.90375451287
4,combined,200,204748.57843702345,1096408.4839915982,77527.78739809213
5,combined,200,254440.01030730433,1280985.4505420446,90579.34986795844
6,combined,200,210857.0346701439,933617.7926858385,66016.74722445727
7,combined,200,130134.92465211525,612754.5009357692,43328.2862814261
8,combined,200,116141.94992458579,483155.1928712375,34164.23132447463
9,combined,200,127259.76313525956,541212.7345646977,38269.51946752127
