experiment,label,P,sample_idx,species,nrmse
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,692,M,0.8848314634682057
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,695,A,0.06206742833390845
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,695,M,0.8991129283125324
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,708,A,0.05984425549810096
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,708,M,1.079308721191675
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,733,A,0.04743559723600241
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,733,M,0.92446665099979
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,736,A,0.06726955656847439
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,736,M,0.8780012792392862
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,752,A,0.10038827981799787
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,752,M,0.701256998971987
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,759,A,0.07556111788865343
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,759,M,0.9673534916678563
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,762,A,0.07880957797169448
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,762,M,0.8870749924507744
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,778,A,0.058179724271294406
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,778,M,0.8372842298947222
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,804,A,0.06759909225040973
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,804,M,0.888996448313215
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,813,A,0.053816471846500936
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,813,M,0.8432505695033249
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,817,A,0.08224640918944441
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,817,M,1.0772085174604569
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,820,A,0.07095920439697065
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,820,M,0.9913956353114451
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,847,A,0.07733400352991943
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,847,M,0.9562317822695209
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,874,A,0.06894080767973026
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,874,M,0.8857239158302849
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,891,A,0.0868424754816867
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,891,M,1.1625431981852048
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,902,A,0.06127084826359141
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,902,M,0.9293170507204639
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,938,A,0.09574412945230681
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,938,M,0.8216127055004494
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,966,A,0.06446723670048995
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,966,M,0.8116201880694673
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,982,A,0.06946820564717542
20260308_172621_reduced2_100ep_lr1e-3_substeps10_1layer,reduced2,2,982,M,0.9213705158731222
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,62,A,0.06008251194418484
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,62,M,0.8271603003532778
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,67,A,0.0396707377192691
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,67,M,0.99772443844065
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,82,A,0.05807465915133943
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,82,M,0.9494937551282179
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,84,A,0.0481274806873527
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,84,M,0.9977769329672753
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,90,A,0.0625492476967977
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,90,M,0.8646738705602102
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,124,A,0.039276515911330884
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,124,M,0.9270924813250827
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,163,A,0.06440235524227711
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,163,M,1.1327836348189306
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,177,A,0.03257175864838272
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,177,M,0.8888145911839347
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,193,A,0.03552520166760978
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,193,M,0.9861143792242496
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,223,A,0.04632252520676755
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,223,M,0.933765642702164
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,273,A,0.05784655642065075
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,273,M,0.9010057188919948
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,352,A,0.052353147893107486
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,352,M,0.8101229993706578
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,360,A,0.041851632792302376
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,360,M,0.7926265569327613
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,393,A,0.031459817607276154
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,393,M,0.8034346580175501
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,413,A,0.05063930332472318
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,413,M,0.964296255252245
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,418,A,0.04188704779496618
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,418,M,0.9014907465104626
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,434,A,0.056108640431589044
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,434,M,0.861313529542882
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,436,A,0.08331088339778656
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,436,M,0.9922578112122341
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,441,A,0.051776420658648
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,441,M,0.7978289225143167
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,444,A,0.05188561767638454
20260225_143003_reduced3_100ep_lr1e-3_substeps10_1layer,reduced3,3,444,M,0.9363966276513945
