P,species,n,mean,std,sem,median,q25,q75,iqr
2,combined_max,50,0.9169485604168446,0.08750981930007305,0.012375757329498213,0.8994328271016534,0.8500978607966787,0.9645730643182725,0.1144752035215938
3,combined_max,50,288024.06229640066,2036631.2651771277,288023.1556766569,0.9127995135349484,0.8456022974816579,0.950217371613701,0.10461507413204307
4,combined_max,50,483031.5455524068,2395790.1411198843,338815.89101714914,0.8892865063605826,0.8442557894703986,0.9487301506509576,0.10447436118055897
5,combined_max,50,1445062.051387161,4469982.343869576,632150.965426863,0.9133465505943774,0.8521520680881154,0.9810352055349755,0.12888313744686009
6,combined_max,50,882540.7447623771,2813201.5310832183,397846.77589466434,0.4553160814452598,0.4228670190144974,0.48021928710318873,0.057352268088691316
7,combined_max,50,507600.276300309,1721443.805402143,243448.91764628614,0.04415048213952498,0.03367318881495575,0.05674128669586801,0.023068097880912262
8,combined_max,50,400677.1471344244,1200397.0884290808,169761.78426895814,0.2066509775998296,0.19066488126261436,0.21780675820126047,0.027141876938646115
9,combined_max,50,316254.2498597465,1151417.5518980306,162835.0317848622,0.04366501244090165,0.03599655913744677,0.05646858664668841,0.020472027509241646
