sample_idx,scaffold,nrmse_mm_rollout,nrmse_pm_rollout,r2_mm_timeseries,r2_pm_timeseries,peak_mm_true,peak_mm_pred,endpoint_pm_true,endpoint_pm_pred
588,maturation,0.025613975,0.50586665,0.90112495,-0.6994301,1.0,0.99999964,1009.0,316.25256
589,maturation,0.023730054,0.5135224,0.8308382,-0.7611166,3.0,2.9999998,1103.0,313.0705
590,maturation,0.028899675,0.4767989,0.95459497,-0.5294242,6.0,5.9999995,930.5,299.75186
591,maturation,5.645265e+09,0.4357468,-4.7707914e+10,-0.49819148,0.0,0.085758165,721.5,327.07852
592,maturation,5.7420175e+09,0.46052685,-4.9357242e+10,-0.638389,0.0,0.099196,734.0,310.6337
593,maturation,6.9047777e+09,0.4760131,-7.137091e+10,-0.800148,0.0,0.12536368,717.5,291.3559
594,maturation,6.4203075e+09,0.47483936,-6.1706863e+10,-0.75689924,0.0,0.09926125,744.5,301.00568
595,maturation,6.1680184e+09,0.4699189,-5.695255e+10,-0.698473,0.0,0.09801622,681.5,279.76703
596,maturation,0.05425422,0.50653964,0.91692,-1.0795305,6.0,6.000052,3081.0,1606.9314
597,maturation,0.02519447,0.48630255,0.98424584,-0.9002589,8.0,8.000166,2705.5,1855.5656
598,maturation,0.0017572974,0.20284793,0.9999655,0.70756376,63.0,63.000008,4232.5,2452.6204
599,maturation,0.024765303,0.55237556,0.9770281,-0.8016145,8.0,7.9999795,1669.5,365.79358
600,maturation,0.01843578,0.53377056,0.9690596,-0.8890697,10.0,9.999999,1588.0,342.76245
601,maturation,0.017185496,0.54025316,0.96958536,-0.9157331,3.0,2.9999988,1381.0,313.34924
602,maturation,0.00954978,0.6173451,0.99747044,-1.5176249,15.0,15.040114,3797.0,455.60626
603,maturation,4.5807544e+09,0.18846834,-3.1412017e+10,0.7864084,0.0,0.07373106,203.5,139.77483
604,maturation,0.023052972,0.26643875,0.9855101,0.5852598,7.0,6.999997,851.5,480.2191
605,maturation,0.019830115,0.5414476,0.97377545,-0.9762176,5.0,5.0,1864.5,386.64664
606,maturation,0.046329673,0.20255452,0.93627405,0.74329364,5.0,5.0,491.5,350.3435
607,maturation,0.028728582,0.46789005,0.9363094,-0.4070543,3.0,2.9999905,830.5,276.87146
608,maturation,0.0036500124,0.20218736,0.99979734,0.74574727,36.0,36.0,1831.5,1282.4698
609,maturation,0.03435462,0.43971503,0.9111513,-0.47823393,3.0,2.9999998,816.5,364.31992
610,maturation,0.03507493,0.37646773,0.96447325,0.061644077,5.0,4.999998,1006.0,433.6436
611,maturation,0.02948601,0.6097963,0.9257279,-1.4586802,4.0,3.9999914,2688.5,486.34952
612,maturation,5.584039e+09,0.35901743,-4.667869e+10,0.09686649,0.0,0.09290126,536.0,239.61998
613,maturation,0.021589678,0.118452005,0.99261874,0.9092555,8.0,8.000001,817.5,654.592
614,maturation,0.04110337,0.5635672,0.910582,-1.0974298,3.0,2.9999988,1299.0,334.5159
615,maturation,0.023846678,0.46382442,0.9371529,-0.66298926,2.0,1.9999989,759.0,314.82855
616,maturation,0.0443432,0.4311314,0.9597821,-0.16040492,3.0,3.0000002,1229.5,527.78076
617,maturation,0.030495925,0.5084106,0.89438,-0.58860016,7.0,6.999994,932.0,261.71375
618,maturation,0.023156637,0.40110952,0.95643884,-0.0024980307,5.0,4.999988,541.0,238.97238
619,maturation,0.027722877,0.5190253,0.9445389,-0.9116119,2.0,1.9999995,1582.0,348.76392
620,maturation,5.842744e+09,0.54679537,-5.110407e+10,-0.92082274,0.0,0.09259015,1385.5,304.92474
621,maturation,0.03007996,0.50389713,0.92593426,-0.6717309,3.0,2.9999988,1113.5,298.20218
622,maturation,0.026526272,0.11241824,0.9807261,0.91480726,6.0,5.9999933,558.5,465.2086
623,maturation,0.005192156,0.16317296,0.9995105,0.8330797,12.0,11.999999,456.0,354.1777
624,maturation,0.005824116,0.4493243,0.99903893,-0.30734634,27.0,26.99997,603.0,231.31017
625,maturation,0.011346672,0.4977917,0.99427515,-0.5919262,8.0,7.9999957,755.0,250.7519
626,maturation,0.0042785765,0.52325356,0.9994903,-0.7105087,23.0,22.99998,1351.5,400.90448
627,maturation,0.019513432,0.09463047,0.9869995,0.9418096,4.0,3.9999983,82.5,98.68082
628,maturation,0.0040620845,67.75332,0.9998759,-1.379004e+06,57.0,56.99992,0.0,61.258625
629,maturation,0.025506146,0.027574364,0.9344166,0.9946272,1.0,1.0446436,158.5,165.38412
630,maturation,0.014674222,0.19903104,0.9975117,0.74109256,11.0,10.999999,170.5,253.38759
631,maturation,0.0048971083,0.23490341,0.99925315,0.63156223,18.0,17.999989,608.5,385.8207
632,maturation,0.0020991918,0.5792565,0.99996495,-1.0577931,191.0,191.0,181.5,425.3269
633,maturation,0.020551192,0.014415536,0.98904496,0.9983848,8.0,8.0,552.0,562.4082
634,maturation,0.0066398922,0.11204099,0.9988766,0.9165838,12.0,11.999989,591.0,479.5202
635,maturation,0.015335947,0.44507518,0.9944924,-0.34689856,9.0,9.000001,1449.5,600.2722
636,maturation,0.006743454,0.049046833,0.9988515,0.9841465,14.0,13.999999,479.5,441.3248
637,maturation,0.017019762,0.036178675,0.9955874,0.99128884,15.0,14.999986,548.5,604.5478
638,maturation,0.006903856,0.2571765,0.99872315,0.5691922,16.0,15.9999895,710.5,441.1624
639,maturation,0.008879493,0.3061378,0.99764025,0.31113523,9.0,9.0,747.5,453.865
640,maturation,0.014129115,0.013424076,0.9961109,0.99882734,13.0,12.999996,478.0,471.85297
641,maturation,0.014757394,0.162682,0.99561995,0.83129936,15.0,14.999993,679.5,503.05823
642,maturation,0.0097097745,0.0651502,0.9981086,0.9682484,24.0,23.999998,193.5,221.6876
643,maturation,0.0013082569,0.13959561,0.99997574,0.8663725,49.0,49.0,1452.5,1077.0803
644,maturation,0.012363249,0.47330546,0.99302995,-0.44114554,7.0,6.9999986,649.5,232.65517
645,maturation,0.0054038023,0.02630368,0.9991821,0.9954672,11.0,10.999997,390.0,372.12622
646,maturation,0.008333927,0.016818099,0.9983558,0.9981183,11.0,10.999997,321.0,313.23093
647,maturation,0.0028217768,0.13895017,0.99985135,0.87797886,29.0,28.999998,869.5,696.4113
648,maturation,0.0029760993,0.08128261,0.99985564,0.9581003,33.0,33.0,894.0,778.29987
649,maturation,0.0016300718,0.03611799,0.99996424,0.9917819,45.0,45.0,649.5,707.0767
650,maturation,0.0021351245,0.07096478,0.99994385,0.9692882,54.0,53.999992,530.0,624.6581
651,maturation,0.0017250963,0.19612734,0.99996966,0.7658013,85.0,84.999985,396.5,587.6361
652,maturation,0.0023969114,0.5605224,0.99995357,-0.8867464,149.0,148.99998,215.5,492.842
653,maturation,0.0020229565,0.526722,0.9999681,-0.6907954,157.0,157.0,217.0,481.98984
654,maturation,0.013030191,0.4912302,0.9962891,-0.5246031,12.0,11.999995,1385.5,485.6603
655,maturation,0.0030356147,0.3096119,0.99980706,0.40236282,15.0,14.999982,903.0,521.3349
656,maturation,0.010021638,0.18526632,0.99827224,0.7879162,17.0,16.999992,951.0,701.5163
657,maturation,0.013936316,0.18794677,0.9935231,0.73587406,8.0,8.0,781.0,582.0271
658,maturation,0.012962037,0.15162851,0.9975962,0.8527694,17.0,16.999996,1135.5,865.44037
659,maturation,0.01141667,0.46220654,0.9970601,-0.39319193,10.0,9.999996,1419.0,469.68106
660,maturation,0.0059806067,0.30293956,0.99928206,0.4125449,14.0,14.000002,1138.5,644.16364
661,maturation,0.0087061655,0.18594202,0.998628,0.7769903,16.0,15.999995,1025.0,730.28174
662,maturation,0.0118015185,0.14241341,0.9976873,0.866476,14.0,13.9999895,704.5,540.90796
663,maturation,0.016890418,0.3023965,0.9917194,0.3057406,6.0,6.0,853.5,521.2257
664,maturation,0.025580104,0.50669134,0.95752066,-0.84396267,4.0,3.9999988,776.0,287.1803
665,maturation,0.013643789,0.10216556,0.9956841,0.92403394,10.0,10.000002,665.0,570.29456
666,maturation,0.01118598,0.27930918,0.99201906,0.41532093,7.0,7.000001,626.5,400.157
667,maturation,0.015475617,0.009577477,0.99557084,0.9993437,6.0,6.0000005,501.5,509.727
668,maturation,0.0041841986,0.8104763,0.99983734,-3.428514,60.0,59.999973,80.5,217.12254
669,maturation,0.013584583,0.05976861,0.99687374,0.9740164,8.0,8.000002,712.0,654.1741
670,maturation,0.0045557753,0.007797538,0.99966484,0.99962205,31.0,31.0,816.5,808.9633
671,maturation,0.008256978,0.3781243,0.99824816,-0.07751536,11.0,10.999992,1332.5,650.272
672,maturation,0.0048741717,0.40659228,0.99939257,-0.17491376,13.0,12.999997,1882.5,857.26227
673,maturation,0.0047009336,0.48300132,0.99953926,-0.65755117,13.0,12.999995,1813.0,657.7764
674,maturation,0.010737759,0.37958008,0.9974925,-0.017306328,15.0,14.999987,1769.5,865.4001
675,maturation,0.007840554,0.4063863,0.99842983,-0.19156277,16.0,15.999942,1537.0,708.99884
676,maturation,0.010366528,0.3570136,0.9974533,0.098667204,15.0,14.999958,1420.0,740.2306
677,maturation,0.0130648725,0.070224635,0.9969894,0.9642315,18.0,17.99999,939.0,842.41327
678,maturation,0.0099989055,0.20430073,0.9976318,0.69538,18.0,17.999998,1043.0,746.48914
679,maturation,0.009911705,0.26493198,0.9975487,0.48171747,17.0,16.999977,952.5,611.28204
680,maturation,0.008330295,0.11399383,0.9986767,0.906191,19.0,18.999985,935.5,782.2991
681,maturation,0.015674628,0.07649051,0.995825,0.95686686,19.0,18.999998,967.0,860.20044
682,maturation,0.005287134,2.5862772,0.99973774,-43.42505,38.0,37.99998,4.5,28.496178
683,maturation,0.015565885,0.05506681,0.994166,0.9750819,16.0,15.99997,439.5,488.0075
684,maturation,0.012195735,0.065045744,0.9976683,0.96964484,19.0,18.999998,486.0,565.4331
685,maturation,0.0031266406,4.982777e+13,0.9998654,-3.7167616e+18,191.0,190.99968,0.0,99.64964
686,maturation,0.011713469,0.18588527,0.99735916,0.7004552,15.0,14.999994,316.0,444.9649
687,maturation,0.011687203,0.0603778,0.99660504,0.96915936,16.0,15.999975,378.0,424.01385
688,maturation,0.01299102,0.0931411,0.99651396,0.926574,15.0,14.999983,389.0,462.36487
689,maturation,0.014783012,0.03230073,0.994238,0.9905797,10.0,9.9999895,331.5,324.4177
690,maturation,0.010630279,0.12900586,0.9976642,0.85487616,15.0,14.999974,333.5,433.52264
691,maturation,0.012521113,0.118242495,0.9963947,0.8782976,13.0,12.999977,316.0,392.9708
692,maturation,0.014308232,0.13345583,0.99624646,0.8450346,16.0,15.999968,322.0,421.42947
693,maturation,0.018385395,0.019691244,0.98474634,0.9967022,11.0,10.999999,369.0,367.78638
694,maturation,0.011166992,0.3278648,0.99802464,0.03070134,22.0,22.000002,234.5,417.6785
