step,time,model,Base,Mod,Am,MOF_C
100,10.0836,GRU,0.0,1.094507,0.0,0.0
101,10.1839,GRU,0.0,1.094397,0.0,0.0
102,10.2843,GRU,0.0,1.094287,0.0,0.0
103,10.3846,GRU,0.0,1.094178,0.0,0.0
104,10.485,GRU,0.0,1.094068,0.0,0.0
105,10.5853,GRU,0.0,1.093958,0.0,0.0
106,10.6856,GRU,0.0,1.093848,0.0,0.0
107,10.786,GRU,0.0,1.093738,0.0,0.0
108,10.8863,GRU,0.0,1.093629,0.0,0.0
109,10.9866,GRU,0.0,1.093519,0.0,0.0
110,11.087,GRU,0.0,1.093409,0.0,0.0
111,11.1873,GRU,0.0,1.0933,0.0,0.0
112,11.2876,GRU,0.0,1.09319,0.0,0.0
113,11.388,GRU,0.0,1.09308,0.0,0.0
114,11.4883,GRU,0.0,1.092971,0.0,0.0
115,11.5886,GRU,0.0,1.092861,0.0,0.0
116,11.689,GRU,0.0,1.092751,0.0,0.0
117,11.7893,GRU,0.0,1.092642,0.0,0.0
118,11.8896,GRU,0.0,1.092532,0.0,0.0
119,11.99,GRU,0.0,1.092422,0.0,0.0
120,12.0903,GRU,0.0,1.092313,0.0,0.0
121,12.1906,GRU,0.0,1.092203,0.0,0.0
122,12.291,GRU,0.0,1.092094,0.0,0.0
123,12.3913,GRU,0.0,1.091984,0.0,0.0
124,12.4916,GRU,0.0,1.091875,0.0,0.0
125,12.592,GRU,0.0,1.091765,0.0,0.0
126,12.6923,GRU,0.0,1.091655,0.0,0.0
127,12.7926,GRU,0.0,1.091546,0.0,0.0
128,12.893,GRU,0.0,1.091436,0.0,0.0
129,12.9933,GRU,0.0,1.091327,0.0,0.0
130,13.0936,GRU,0.0,1.641162,0.0,0.0
131,13.194,GRU,0.0,1.640998,0.0,0.0
132,13.2943,GRU,0.0,1.640833,0.0,0.0
133,13.3946,GRU,0.0,1.640668,0.0,0.0
134,13.495,GRU,0.0,1.640504,0.0,0.0
135,13.5953,GRU,0.0,1.640339,0.0,0.0
136,13.6957,GRU,0.0,1.640175,0.0,0.0
137,13.796,GRU,0.0,1.64001,0.0,0.0
138,13.8963,GRU,0.0,1.639845,0.0,0.0
139,13.9967,GRU,0.0,1.639681,0.0,0.0
140,14.097,GRU,0.0,1.639516,0.0,0.0
141,14.1973,GRU,0.0,1.639352,0.0,0.0
142,14.2977,GRU,0.0,1.639187,0.0,0.0
143,14.398,GRU,0.0,1.639023,0.0,0.0
144,14.4983,GRU,0.0,1.638859,0.0,0.0
145,14.5987,GRU,0.0,1.638694,0.0,0.0
146,14.699,GRU,0.0,1.63853,0.0,0.0
147,14.7993,GRU,0.0,1.638365,0.0,0.0
148,14.8997,GRU,0.0,1.638201,0.0,0.0
149,15.0,GRU,0.0,1.638037,0.0,0.0
150,15.1003,GRU,0.0,1.637872,0.0,0.0
151,15.2007,GRU,0.0,1.637708,0.0,0.0
152,15.301,GRU,0.0,1.637544,0.0,0.0
153,15.4013,GRU,0.0,1.637379,0.0,0.0
154,15.5017,GRU,0.0,1.637215,0.0,0.0
155,15.602,GRU,0.0,1.637051,0.0,0.0
156,15.7023,GRU,0.0,1.636887,0.0,0.0
157,15.8027,GRU,0.0,1.636722,0.0,0.0
158,15.903,GRU,0.0,1.636558,0.0,0.0
159,16.0033,GRU,0.0,1.636394,0.0,0.0
160,16.1037,GRU,0.0,1.63623,0.0,0.0
161,16.204,GRU,0.0,1.636066,0.0,0.0
162,16.3043,GRU,0.0,1.635901,0.0,0.0
163,16.4047,GRU,0.0,1.635737,0.0,0.0
164,16.505,GRU,0.0,1.635573,0.0,0.0
165,16.6054,GRU,0.0,1.635409,0.0,0.0
166,16.7057,GRU,0.0,1.635245,0.0,0.0
167,16.806,GRU,0.0,1.635081,0.0,0.0
168,16.9064,GRU,0.0,1.634917,0.0,0.0
169,17.0067,GRU,0.0,1.634753,0.0,0.0
170,17.107,GRU,0.0,1.634589,0.0,0.0
171,17.2074,GRU,0.0,1.634425,0.0,0.0
172,17.3077,GRU,0.0,1.634261,0.0,0.0
173,17.408,GRU,0.0,1.634097,0.0,0.0
174,17.5084,GRU,0.0,1.633933,0.0,0.0
175,17.6087,GRU,0.0,1.633769,0.0,0.0
176,17.709,GRU,0.0,1.633605,0.0,0.0
177,17.8094,GRU,0.0,1.633441,0.0,0.0
178,17.9097,GRU,0.0,1.633277,0.0,0.0
179,18.01,GRU,0.0,1.633113,0.0,0.0
180,18.1104,GRU,0.0,2.182894,0.0,0.0
181,18.2107,GRU,0.0,2.182675,0.0,0.0
182,18.311,GRU,0.0,2.182456,0.0,0.0
183,18.4114,GRU,0.0,2.182237,0.0,0.0
184,18.5117,GRU,0.0,2.182019,0.0,0.0
185,18.612,GRU,0.0,2.1818,0.0,0.0
186,18.7124,GRU,0.0,2.181581,0.0,0.0
187,18.8127,GRU,0.0,2.181362,0.0,0.0
188,18.913,GRU,0.0,2.181143,0.0,0.0
189,19.0134,GRU,0.0,2.180924,0.0,0.0
190,19.1137,GRU,0.0,2.180705,0.0,0.0
191,19.214,GRU,0.0,2.180486,0.0,0.0
192,19.3144,GRU,0.0,2.180268,0.0,0.0
193,19.4147,GRU,0.0,2.180049,0.0,0.0
194,19.5151,GRU,0.0,2.17983,0.0,0.0
195,19.6154,GRU,0.0,2.179612,0.0,0.0
196,19.7157,GRU,0.0,2.179393,0.0,0.0
197,19.8161,GRU,0.0,2.179174,0.0,0.0
198,19.9164,GRU,0.0,2.178956,0.0,0.0
199,20.0167,GRU,0.0,2.178737,0.0,0.0
200,20.1171,GRU,0.0,2.178519,0.0,0.0
201,20.2174,GRU,0.0,2.1783,0.0,0.0
202,20.3177,GRU,0.0,2.178081,0.0,0.0
203,20.4181,GRU,0.0,2.177863,0.0,0.0
204,20.5184,GRU,0.0,2.177644,0.0,0.0
205,20.6187,GRU,0.0,2.177426,0.0,0.0
206,20.7191,GRU,0.0,2.177207,0.0,0.0
207,20.8194,GRU,0.0,2.176989,0.0,0.0
208,20.9197,GRU,0.0,2.176771,0.0,0.0
209,21.0201,GRU,0.0,2.176552,0.0,0.0
210,21.1204,GRU,0.0,2.176334,0.0,0.0
211,21.2207,GRU,0.0,2.176116,0.0,0.0
212,21.3211,GRU,0.0,2.175897,0.0,0.0
213,21.4214,GRU,0.0,2.175679,0.0,0.0
214,21.5217,GRU,0.0,2.17546,0.0,0.0
215,21.6221,GRU,0.0,2.175242,0.0,0.0
216,21.7224,GRU,0.0,2.175024,0.0,0.0
217,21.8227,GRU,0.0,2.174806,0.0,0.0
218,21.9231,GRU,0.0,2.174588,0.0,0.0
219,22.0234,GRU,0.0,2.17437,0.0,0.0
220,22.1237,GRU,0.0,2.174151,0.0,0.0
221,22.2241,GRU,0.0,2.173933,0.0,0.0
222,22.3244,GRU,0.0,2.173715,0.0,0.0
223,22.4247,GRU,0.0,2.173497,0.0,0.0
224,22.5251,GRU,0.0,2.173279,0.0,0.0
225,22.6254,GRU,0.0,2.173061,0.0,0.0
226,22.7258,GRU,0.0,2.172843,0.0,0.0
227,22.8261,GRU,0.0,2.172625,0.0,0.0
228,22.9264,GRU,0.0,2.172407,0.0,0.0
229,23.0268,GRU,0.0,2.172189,0.0,0.0
230,23.1271,GRU,0.0,2.721916,0.0,0.0
231,23.2274,GRU,0.0,2.721643,0.0,0.0
232,23.3278,GRU,0.0,2.72137,0.0,0.0
233,23.4281,GRU,0.0,2.721097,0.0,0.0
234,23.5284,GRU,0.0,2.720824,0.0,0.0
235,23.6288,GRU,0.0,2.720551,0.0,0.0
236,23.7291,GRU,0.0,2.720278,0.0,0.0
237,23.8294,GRU,0.0,2.720005,0.0,0.0
238,23.9298,GRU,0.0,2.719732,0.0,0.0
239,24.0301,GRU,0.0,2.719459,0.0,0.0
240,24.1304,GRU,0.0,2.719186,0.0,0.0
241,24.2308,GRU,0.0,2.718914,0.0,0.0
242,24.3311,GRU,0.0,2.718641,0.0,0.0
243,24.4314,GRU,0.0,2.718368,0.0,0.0
244,24.5318,GRU,0.0,2.718095,0.0,0.0
245,24.6321,GRU,0.0,2.717823,0.0,0.0
246,24.7324,GRU,0.0,2.71755,0.0,0.0
247,24.8328,GRU,0.0,2.717277,0.0,0.0
248,24.9331,GRU,0.0,2.717005,0.0,0.0
249,25.0334,GRU,0.0,2.716732,0.0,0.0
250,25.1338,GRU,0.0,2.71646,0.0,0.0
251,25.2341,GRU,0.0,2.716187,0.0,0.0
252,25.3344,GRU,0.0,2.715914,0.0,0.0
253,25.4348,GRU,0.0,2.715642,0.0,0.0
254,25.5351,GRU,0.0,2.715369,0.0,0.0
255,25.6355,GRU,0.0,2.715097,0.0,0.0
256,25.7358,GRU,0.0,2.714824,0.0,0.0
257,25.8361,GRU,0.0,2.714552,0.0,0.0
258,25.9365,GRU,0.0,2.71428,0.0,0.0
259,26.0368,GRU,0.0,2.714008,0.0,0.0
260,26.1371,GRU,0.0,2.713735,0.0,0.0
261,26.2375,GRU,0.0,2.713463,0.0,0.0
262,26.3378,GRU,0.0,2.713191,0.0,0.0
263,26.4381,GRU,0.0,2.712919,0.0,0.0
264,26.5385,GRU,0.0,2.712646,0.0,0.0
265,26.6388,GRU,0.0,2.712374,0.0,0.0
266,26.7391,GRU,0.0,2.712102,0.0,0.0
267,26.8395,GRU,0.0,2.71183,0.0,0.0
268,26.9398,GRU,0.0,2.711558,0.0,0.0
269,27.0401,GRU,0.0,2.711286,0.0,0.0
270,27.1405,GRU,0.0,2.711014,0.0,0.0
271,27.2408,GRU,0.0,2.710742,0.0,0.0
272,27.3411,GRU,0.0,2.71047,0.0,0.0
273,27.4415,GRU,0.0,2.710198,0.0,0.0
274,27.5418,GRU,0.0,2.709926,0.0,0.0
275,27.6421,GRU,0.0,2.709654,0.0,0.0
276,27.7425,GRU,0.0,2.709382,0.0,0.0
277,27.8428,GRU,0.0,2.70911,0.0,0.0
278,27.9431,GRU,0.0,2.708839,0.0,0.0
279,28.0435,GRU,0.0,2.708567,0.0,0.0
280,28.1438,GRU,0.0,2.708295,0.0,0.0
281,28.2441,GRU,0.0,2.708023,0.0,0.0
282,28.3445,GRU,0.0,2.707752,0.0,0.0
283,28.4448,GRU,0.0,2.70748,0.0,0.0
284,28.5452,GRU,0.0,2.707208,0.0,0.0
285,28.6455,GRU,0.0,2.706937,0.0,0.0
286,28.7458,GRU,0.0,2.706665,0.0,0.0
287,28.8462,GRU,0.0,2.706394,0.0,0.0
288,28.9465,GRU,0.0,2.706122,0.0,0.0
289,29.0468,GRU,0.0,2.705851,0.0,0.0
290,29.1472,GRU,0.0,2.705579,0.0,0.0
291,29.2475,GRU,0.0,2.705307,0.0,0.0
292,29.3478,GRU,0.0,2.705036,0.0,0.0
293,29.4482,GRU,0.0,2.704765,0.0,0.0
294,29.5485,GRU,0.0,2.704494,0.0,0.0
295,29.6488,GRU,0.0,2.704222,0.0,0.0
296,29.7492,GRU,0.0,2.703951,0.0,0.0
297,29.8495,GRU,0.0,2.70368,0.0,0.0
298,29.9498,GRU,0.0,2.703408,0.0,0.0
