step,time,model,Base,Mod,Am,MOF_C
106,10.6856,GRU,0.004436,1.093855,0.742889,0.358417
107,10.786,GRU,0.00363,1.093745,0.743119,0.358512
108,10.8863,GRU,0.00297,1.093636,0.743306,0.358587
109,10.9866,GRU,0.00243,1.093526,0.743459,0.358647
110,11.087,GRU,0.001988,1.093416,0.743583,0.358695
111,11.1873,GRU,0.001627,1.093307,0.743685,0.358733
112,11.2876,GRU,0.001331,1.093197,0.743767,0.358763
113,11.388,GRU,0.001089,1.093087,0.743834,0.358787
114,11.4883,GRU,0.000891,1.092978,0.743889,0.358806
115,11.5886,GRU,0.000729,1.092868,0.743934,0.358821
116,11.689,GRU,0.000596,1.092758,0.74397,0.358833
117,11.7893,GRU,0.000488,1.092649,0.743999,0.358842
118,11.8896,GRU,0.000399,1.092539,0.744024,0.35885
119,11.99,GRU,0.000327,1.092429,0.744043,0.358855
120,12.0903,GRU,0.000267,1.09232,0.744059,0.35886
121,12.1906,GRU,0.000219,1.09221,0.744072,0.358864
122,12.291,GRU,0.000179,1.092101,0.744083,0.358867
123,12.3913,GRU,0.000146,1.091991,0.744092,0.358869
124,12.4916,GRU,0.00012,1.091881,0.744099,0.358871
125,12.592,GRU,9.8e-05,1.091772,0.744104,0.358872
126,12.6923,GRU,8e-05,1.091662,0.744109,0.358873
127,12.7926,GRU,6.6e-05,1.091553,0.744113,0.358874
128,12.893,GRU,5.4e-05,1.091443,0.744116,0.358875
129,12.9933,GRU,4.4e-05,1.091334,0.744119,0.358876
130,13.0936,GRU,0.818221,1.641169,0.790516,0.368926
131,13.194,GRU,0.669457,1.641004,0.828489,0.37685
132,13.2943,GRU,0.547741,1.64084,0.859474,0.383085
133,13.3946,GRU,0.448154,1.640675,0.884759,0.38799
134,13.495,GRU,0.366673,1.64051,0.905393,0.391848
135,13.5953,GRU,0.300007,1.640346,0.92223,0.39488
136,13.6957,GRU,0.245461,1.640181,0.935971,0.397263
137,13.796,GRU,0.200833,1.640017,0.947183,0.399136
138,13.8963,GRU,0.164319,1.639852,0.956333,0.400606
139,13.9967,GRU,0.134443,1.639688,0.9638,0.401761
140,14.097,GRU,0.11,1.639523,0.969894,0.402667
141,14.1973,GRU,0.09,1.639359,0.974867,0.403378
142,14.2977,GRU,0.073637,1.639194,0.978925,0.403935
143,14.398,GRU,0.060249,1.63903,0.982237,0.404373
144,14.4983,GRU,0.049295,1.638865,0.98494,0.404716
145,14.5987,GRU,0.040332,1.638701,0.987146,0.404984
146,14.699,GRU,0.032999,1.638536,0.988947,0.405195
147,14.7993,GRU,0.026999,1.638372,0.990416,0.40536
148,14.8997,GRU,0.022091,1.638208,0.991616,0.405489
149,15.0,GRU,0.018074,1.638043,0.992595,0.40559
150,15.1003,GRU,0.014788,1.637879,0.993394,0.405669
151,15.2007,GRU,0.012099,1.637715,0.994047,0.405731
152,15.301,GRU,0.0099,1.63755,0.994579,0.40578
153,15.4013,GRU,0.0081,1.637386,0.995014,0.405817
154,15.5017,GRU,0.006627,1.637222,0.995369,0.405847
155,15.602,GRU,0.005422,1.637058,0.995658,0.40587
156,15.7023,GRU,0.004436,1.636893,0.995895,0.405888
157,15.8027,GRU,0.00363,1.636729,0.996088,0.405903
158,15.903,GRU,0.00297,1.636565,0.996246,0.405914
159,16.0033,GRU,0.00243,1.636401,0.996374,0.405922
160,16.1037,GRU,0.001988,1.636236,0.996479,0.405929
161,16.204,GRU,0.001627,1.636072,0.996565,0.405934
162,16.3043,GRU,0.001331,1.635908,0.996635,0.405938
163,16.4047,GRU,0.001089,1.635744,0.996692,0.405942
164,16.505,GRU,0.000891,1.63558,0.996739,0.405944
165,16.6054,GRU,0.000729,1.635416,0.996777,0.405946
166,16.7057,GRU,0.000596,1.635252,0.996808,0.405948
167,16.806,GRU,0.000488,1.635088,0.996834,0.405949
168,16.9064,GRU,0.000399,1.634924,0.996854,0.40595
169,17.0067,GRU,0.000327,1.63476,0.996871,0.40595
170,17.107,GRU,0.000267,1.634596,0.996885,0.405951
171,17.2074,GRU,0.000219,1.634431,0.996897,0.405951
172,17.3077,GRU,0.000179,1.634267,0.996906,0.405952
173,17.408,GRU,0.000146,1.634104,0.996913,0.405952
174,17.5084,GRU,0.00012,1.63394,0.996919,0.405952
175,17.6087,GRU,9.8e-05,1.633776,0.996924,0.405953
176,17.709,GRU,8e-05,1.633612,0.996929,0.405953
177,17.8094,GRU,6.6e-05,1.633448,0.996932,0.405953
178,17.9097,GRU,5.4e-05,1.633284,0.996935,0.405953
179,18.01,GRU,4.4e-05,1.63312,0.996937,0.405953
180,18.1104,GRU,0.818219,2.182901,1.037571,0.407042
181,18.2107,GRU,0.669456,2.182682,1.070912,0.407893
182,18.311,GRU,0.54774,2.182463,1.098167,0.408558
183,18.4114,GRU,0.448153,2.182244,1.120441,0.409076
184,18.5117,GRU,0.366673,2.182025,1.13864,0.409481
185,18.612,GRU,0.300007,2.181806,1.153508,0.409798
186,18.7124,GRU,0.24546,2.181587,1.165653,0.410045
187,18.8127,GRU,0.200832,2.181369,1.175572,0.410238
188,18.913,GRU,0.164318,2.18115,1.183673,0.410389
189,19.0134,GRU,0.134443,2.180931,1.190289,0.410506
190,19.1137,GRU,0.109999,2.180712,1.195691,0.410599
191,19.214,GRU,0.09,2.180493,1.200101,0.410671
192,19.3144,GRU,0.073637,2.180274,1.203703,0.410727
193,19.4147,GRU,0.060248,2.180055,1.206643,0.410771
194,19.5151,GRU,0.049294,2.179837,1.209044,0.410805
195,19.6154,GRU,0.040332,2.179618,1.211003,0.410832
196,19.7157,GRU,0.032999,2.179399,1.212603,0.410853
197,19.8161,GRU,0.026999,2.179181,1.213909,0.41087
198,19.9164,GRU,0.022091,2.178962,1.214975,0.410883
199,20.0167,GRU,0.018074,2.178744,1.215845,0.410893
200,20.1171,GRU,0.014788,2.178525,1.216555,0.410901
201,20.2174,GRU,0.012099,2.178306,1.217134,0.410907
202,20.3177,GRU,0.0099,2.178088,1.217607,0.410912
203,20.4181,GRU,0.0081,2.177869,1.217993,0.410916
204,20.5184,GRU,0.006627,2.177651,1.218308,0.410919
205,20.6187,GRU,0.005422,2.177432,1.218566,0.410921
206,20.7191,GRU,0.004436,2.177214,1.218775,0.410923
207,20.8194,GRU,0.00363,2.176996,1.218947,0.410925
208,20.9197,GRU,0.00297,2.176777,1.219086,0.410926
209,21.0201,GRU,0.00243,2.176559,1.2192,0.410927
210,21.1204,GRU,0.001988,2.17634,1.219293,0.410928
211,21.2207,GRU,0.001627,2.176122,1.219369,0.410928
212,21.3211,GRU,0.001331,2.175904,1.219431,0.410929
213,21.4214,GRU,0.001089,2.175685,1.219482,0.410929
214,21.5217,GRU,0.000891,2.175467,1.219523,0.410929
215,21.6221,GRU,0.000729,2.175249,1.219556,0.410929
216,21.7224,GRU,0.000596,2.17503,1.219584,0.41093
217,21.8227,GRU,0.000488,2.174812,1.219606,0.41093
218,21.9231,GRU,0.000399,2.174594,1.219625,0.41093
219,22.0234,GRU,0.000327,2.174376,1.219639,0.41093
220,22.1237,GRU,0.000267,2.174158,1.219652,0.41093
221,22.2241,GRU,0.000219,2.17394,1.219661,0.41093
222,22.3244,GRU,0.000179,2.173722,1.21967,0.41093
223,22.4247,GRU,0.000146,2.173503,1.219676,0.41093
224,22.5251,GRU,0.00012,2.173285,1.219682,0.41093
225,22.6254,GRU,9.8e-05,2.173067,1.219686,0.41093
226,22.7258,GRU,8e-05,2.172849,1.219689,0.41093
227,22.8261,GRU,6.6e-05,2.172631,1.219692,0.41093
228,22.9264,GRU,5.4e-05,2.172413,1.219695,0.41093
229,23.0268,GRU,4.4e-05,2.172195,1.219697,0.41093
230,23.1271,GRU,0.818222,2.721922,1.254789,0.411089
231,23.2274,GRU,0.669458,2.721649,1.283579,0.411216
232,23.3278,GRU,0.547742,2.721376,1.307088,0.411317
233,23.4281,GRU,0.448155,2.721103,1.326277,0.411398
234,23.5284,GRU,0.366673,2.72083,1.341935,0.411463
235,23.6288,GRU,0.300007,2.720557,1.354708,0.411515
236,23.7291,GRU,0.245461,2.720284,1.365126,0.411557
237,23.8294,GRU,0.200833,2.720011,1.373621,0.41159
238,23.9298,GRU,0.164319,2.719738,1.380548,0.411617
239,24.0301,GRU,0.134444,2.719465,1.386195,0.411639
240,24.1304,GRU,0.11,2.719193,1.390799,0.411657
241,24.2308,GRU,0.09,2.71892,1.394551,0.411671
242,24.3311,GRU,0.073637,2.718647,1.397609,0.411682
243,24.4314,GRU,0.060249,2.718374,1.400101,0.411691
244,24.5318,GRU,0.049295,2.718102,1.402131,0.411698
245,24.6321,GRU,0.040332,2.717829,1.403786,0.411704
246,24.7324,GRU,0.032999,2.717556,1.405134,0.411709
247,24.8328,GRU,0.027,2.717283,1.406233,0.411713
248,24.9331,GRU,0.022091,2.717011,1.407128,0.411716
249,25.0334,GRU,0.018074,2.716738,1.407857,0.411719
250,25.1338,GRU,0.014788,2.716466,1.408451,0.411721
251,25.2341,GRU,0.012099,2.716193,1.408935,0.411722
252,25.3344,GRU,0.0099,2.715921,1.409329,0.411724
253,25.4348,GRU,0.0081,2.715648,1.40965,0.411725
254,25.5351,GRU,0.006627,2.715376,1.409911,0.411725
255,25.6355,GRU,0.005422,2.715103,1.410124,0.411726
256,25.7358,GRU,0.004436,2.714831,1.410297,0.411727
257,25.8361,GRU,0.00363,2.714559,1.410439,0.411727
258,25.9365,GRU,0.00297,2.714286,1.410554,0.411728
259,26.0368,GRU,0.00243,2.714014,1.410647,0.411728
260,26.1371,GRU,0.001988,2.713742,1.410724,0.411728
261,26.2375,GRU,0.001627,2.71347,1.410786,0.411728
262,26.3378,GRU,0.001331,2.713197,1.410836,0.411729
263,26.4381,GRU,0.001089,2.712925,1.410877,0.411729
264,26.5385,GRU,0.000891,2.712653,1.410911,0.411729
265,26.6388,GRU,0.000729,2.71238,1.410938,0.411729
266,26.7391,GRU,0.000596,2.712108,1.41096,0.411729
267,26.8395,GRU,0.000488,2.711836,1.410979,0.411729
268,26.9398,GRU,0.000399,2.711564,1.410993,0.411729
269,27.0401,GRU,0.000327,2.711292,1.411005,0.411729
270,27.1405,GRU,0.000267,2.71102,1.411015,0.411729
271,27.2408,GRU,0.000219,2.710748,1.411023,0.411729
272,27.3411,GRU,0.000179,2.710476,1.411029,0.411729
273,27.4415,GRU,0.000146,2.710204,1.411035,0.411729
274,27.5418,GRU,0.00012,2.709932,1.411039,0.411729
275,27.6421,GRU,9.8e-05,2.709661,1.411042,0.411729
276,27.7425,GRU,8e-05,2.709389,1.411045,0.411729
277,27.8428,GRU,6.6e-05,2.709117,1.411047,0.411729
278,27.9431,GRU,5.4e-05,2.708845,1.411049,0.411729
279,28.0435,GRU,4.4e-05,2.708573,1.411051,0.411729
280,28.1438,GRU,3.6e-05,2.708302,1.411052,0.411729
281,28.2441,GRU,2.9e-05,2.70803,1.411053,0.411729
282,28.3445,GRU,2.4e-05,2.707758,1.411054,0.411729
283,28.4448,GRU,2e-05,2.707486,1.411055,0.411729
284,28.5452,GRU,1.6e-05,2.707215,1.411055,0.411729
285,28.6455,GRU,1.3e-05,2.706943,1.411056,0.411729
286,28.7458,GRU,1.1e-05,2.706672,1.411056,0.411729
287,28.8462,GRU,9e-06,2.7064,1.411056,0.411729
288,28.9465,GRU,7e-06,2.706129,1.411057,0.411729
289,29.0468,GRU,6e-06,2.705857,1.411057,0.411729
290,29.1472,GRU,5e-06,2.705585,1.411057,0.411729
291,29.2475,GRU,4e-06,2.705314,1.411057,0.411729
292,29.3478,GRU,3e-06,2.705043,1.411057,0.411729
293,29.4482,GRU,3e-06,2.704771,1.411057,0.411729
294,29.5485,GRU,2e-06,2.7045,1.411057,0.411729
295,29.6488,GRU,2e-06,2.704229,1.411057,0.411729
296,29.7492,GRU,1e-06,2.703957,1.411057,0.411729
297,29.8495,GRU,1e-06,2.703686,1.411057,0.411729
298,29.9498,GRU,1e-06,2.703415,1.411057,0.411729
