step,time,model,Base,Mod,Am,MOF_C
0,0.0502,GRU,0.0,0.0,0.0,0.0
1,0.1505,GRU,0.0,0.0,0.0,0.0
2,0.2508,GRU,0.0,0.0,0.0,0.0
3,0.3512,GRU,0.0,0.0,0.0,0.0
4,0.4515,GRU,0.0,0.0,0.0,0.0
5,0.5518,GRU,0.0,0.0,0.0,0.0
6,0.6522,GRU,0.0,0.0,0.0,0.0
7,0.7525,GRU,0.0,0.0,0.0,0.0
8,0.8528,GRU,0.0,0.0,0.0,0.0
9,0.9532,GRU,0.0,0.0,0.0,0.0
10,1.0535,GRU,0.0,0.0,0.0,0.0
11,1.1538,GRU,0.0,0.0,0.0,0.0
12,1.2542,GRU,0.0,0.0,0.0,0.0
13,1.3545,GRU,0.0,0.0,0.0,0.0
14,1.4548,GRU,0.0,0.0,0.0,0.0
15,1.5552,GRU,0.0,0.0,0.0,0.0
16,1.6555,GRU,0.0,0.0,0.0,0.0
17,1.7559,GRU,0.0,0.0,0.0,0.0
18,1.8562,GRU,0.0,0.0,0.0,0.0
19,1.9565,GRU,0.0,0.0,0.0,0.0
20,2.0569,GRU,0.0,0.0,0.0,0.0
21,2.1572,GRU,0.0,0.0,0.0,0.0
22,2.2575,GRU,0.0,0.0,0.0,0.0
23,2.3579,GRU,0.0,0.0,0.0,0.0
24,2.4582,GRU,0.0,0.0,0.0,0.0
25,2.5585,GRU,0.0,0.0,0.0,0.0
26,2.6589,GRU,0.0,0.0,0.0,0.0
27,2.7592,GRU,0.0,0.0,0.0,0.0
28,2.8595,GRU,0.0,0.0,0.0,0.0
29,2.9599,GRU,0.0,0.0,0.0,0.0
30,3.0602,GRU,0.818191,0.0,0.076544,0.029439
31,3.1605,GRU,0.669436,0.0,0.139074,0.053914
32,3.2609,GRU,0.547725,0.0,0.190346,0.07425
33,3.3612,GRU,0.448143,0.0,0.232389,0.091146
34,3.4615,GRU,0.366665,0.0,0.26685,0.105183
35,3.5619,GRU,0.300001,0.0,0.295081,0.116842
36,3.6622,GRU,0.245457,0.0,0.318197,0.126523
37,3.7625,GRU,0.20083,0.0,0.337115,0.13456
38,3.8629,GRU,0.164316,0.0,0.35259,0.141229
39,3.9632,GRU,0.134441,0.0,0.365242,0.146761
40,4.0635,GRU,0.109998,0.0,0.375583,0.151347
41,4.1639,GRU,0.089999,0.0,0.384031,0.155148
42,4.2642,GRU,0.073636,0.0,0.390929,0.158296
43,4.3645,GRU,0.060248,0.0,0.396561,0.160902
44,4.4649,GRU,0.049294,0.0,0.401156,0.163058
45,4.5652,GRU,0.040332,0.0,0.404905,0.164842
46,4.6656,GRU,0.032999,0.0,0.407962,0.166315
47,4.7659,GRU,0.026999,0.0,0.410455,0.167533
48,4.8662,GRU,0.02209,0.0,0.412486,0.168537
49,4.9666,GRU,0.018074,0.0,0.414142,0.169366
50,5.0669,GRU,0.014788,0.0,0.41549,0.17005
51,5.1672,GRU,0.012099,0.0,0.416588,0.170613
52,5.2676,GRU,0.009899,0.0,0.417483,0.171077
53,5.3679,GRU,0.0081,0.0,0.418211,0.171458
54,5.4682,GRU,0.006627,0.0,0.418804,0.171772
55,5.5686,GRU,0.005422,0.0,0.419286,0.17203
56,5.6689,GRU,0.004436,0.0,0.419679,0.172242
57,5.7692,GRU,0.00363,0.0,0.419998,0.172416
58,5.8696,GRU,0.00297,0.0,0.420258,0.172559
59,5.9699,GRU,0.00243,0.0,0.42047,0.172676
60,6.0702,GRU,0.001988,0.0,0.420642,0.172772
61,6.1706,GRU,0.001627,0.0,0.420781,0.17285
62,6.2709,GRU,0.001331,0.0,0.420895,0.172914
63,6.3712,GRU,0.001089,0.0,0.420987,0.172967
64,6.4716,GRU,0.000891,0.0,0.421063,0.17301
65,6.5719,GRU,0.000729,0.0,0.421124,0.173045
66,6.6722,GRU,0.000596,0.0,0.421173,0.173074
67,6.7726,GRU,0.000488,0.0,0.421214,0.173097
68,6.8729,GRU,0.000399,0.0,0.421247,0.173116
69,6.9732,GRU,0.000327,0.0,0.421273,0.173132
70,7.0736,GRU,0.000267,0.0,0.421295,0.173144
71,7.1739,GRU,0.000219,0.0,0.421313,0.173154
72,7.2742,GRU,0.000179,0.0,0.421327,0.173163
73,7.3746,GRU,0.000146,0.0,0.421339,0.17317
74,7.4749,GRU,0.00012,0.0,0.421348,0.173175
75,7.5753,GRU,9.8e-05,0.0,0.421356,0.17318
76,7.6756,GRU,8e-05,0.0,0.421362,0.173183
77,7.7759,GRU,6.6e-05,0.0,0.421367,0.173186
78,7.8763,GRU,5.4e-05,0.0,0.421371,0.173189
79,7.9766,GRU,4.4e-05,0.0,0.421375,0.173191
80,8.0769,GRU,3.6e-05,0.549945,0.421377,0.173192
81,8.1773,GRU,2.9e-05,0.54989,0.42138,0.173194
82,8.2776,GRU,2.4e-05,0.549834,0.421381,0.173195
83,8.3779,GRU,2e-05,0.549779,0.421383,0.173195
84,8.4783,GRU,1.6e-05,0.549724,0.421384,0.173196
85,8.5786,GRU,1.3e-05,0.549669,0.421385,0.173197
86,8.6789,GRU,1.1e-05,0.549614,0.421386,0.173197
87,8.7793,GRU,9e-06,0.549559,0.421386,0.173197
88,8.8796,GRU,7e-06,0.549504,0.421387,0.173198
89,8.9799,GRU,6e-06,0.549448,0.421387,0.173198
90,9.0803,GRU,5e-06,0.549393,0.421388,0.173198
91,9.1806,GRU,4e-06,0.549338,0.421388,0.173198
92,9.2809,GRU,3e-06,0.549283,0.421388,0.173198
93,9.3813,GRU,3e-06,0.549228,0.421388,0.173198
