scaffold,label,P,theta_dim,N,trajR2_mRNA,trajR2_protein,nrmse_mRNA,nrmse_protein,endpointR2_mRNA,endpointR2_protein
txtl_model4_three_state,M4,4,5,40,0.3038,-2356.0328,0.1501,6.4835,-18.5319,-8474.0723
txtl_model7_bg_fixed,M7,12,17,40,0.0895,-891.8256,0.1717,3.9903,0.7196,-2012.9348
