run,nrmse,Glc,SugarP,PEP,Pyr,Lac,ATP,NAD,NADH
A6_baseline_n1000,0.089979,0.029111,0.057326,0.443233,0.049216,0.027317,0.015365,0.026686,0.071578
trans_glyc8_n1000_s42,0.095978,0.037881,0.054501,0.433455,0.068426,0.045581,0.015700,0.037182,0.075098
mamba_glyc8_n1000_s42,0.132598,0.040141,0.055560,0.636888,0.099641,0.067246,0.022545,0.052287,0.086475
trans_glyc8_n1000_fl_s42,0.796141,0.008899,0.239980,5.498778,0.363734,0.108447,0.100673,0.017343,0.031270
mamba_glyc8_n1000_fl_s42,0.822530,0.017960,0.263303,5.687702,0.244758,0.171218,0.105676,0.034501,0.055118
A6_baseline_first_last_n1000,0.866806,0.010380,0.191601,6.291796,0.140138,0.135462,0.114520,0.017700,0.032850
lstm_glyc8_n1000_fl_s42,0.894158,0.025079,0.248040,6.246866,0.225990,0.190964,0.110877,0.039554,0.065897
lstm_glyc8_n1000_s42,6356142.934935,1534234.012369,1176925.516729,39358634.218873,2278765.257984,1757310.598646,1022597.064725,1826273.407640,1894403.402517
