run,nrmse,Glc,SugarP,PEP,Pyr,Lac,ATP,NAD,NADH
lstm_glyc8_n100_s42,0.121652,0.054403,0.077480,0.319604,0.092739,0.087166,0.054976,0.076254,0.210591
A6_baseline_n100,0.128602,0.058065,0.078305,0.443223,0.092131,0.073007,0.051928,0.065266,0.166892
trans_glyc8_n100_s42,0.129309,0.053338,0.052048,0.496593,0.093203,0.094330,0.042724,0.053980,0.148258
mamba_glyc8_n100_s42,0.129690,0.058984,0.069803,0.417468,0.086592,0.094655,0.049770,0.069038,0.191208
mamba_glyc8_n100_fl_s42,0.563892,0.032788,0.177754,3.367224,0.306972,0.284078,0.149381,0.050360,0.142579
trans_glyc8_n100_fl_s42,0.631480,0.025590,0.141453,4.010377,0.237687,0.350915,0.135130,0.033309,0.117381
lstm_glyc8_n100_fl_s42,0.735737,0.037436,0.158533,4.787516,0.393952,0.152742,0.140067,0.053376,0.162270
A6_baseline_first_last_n100,0.742176,0.029944,0.200200,4.836789,0.340056,0.230777,0.128569,0.042716,0.128360
