run,nrmse,A,C
trans_enzlumped_n100_s42,0.042407,0.039700,0.045114
A6_baseline_n100,0.046183,0.042637,0.049728
A6_baseline_n100_s42,0.046183,0.042637,0.049728
A6_baseline_fl_n100_s42,0.046183,0.042637,0.049728
slstm_enzlumped_n100_s42,0.063648,0.060408,0.066887
lstm_enzlumped_n100_s42,0.079056,0.074172,0.083939
mamba_enzlumped_n100_s42,0.159955,0.149599,0.170310
