run,nrmse,Base,Mod,Am,MOF_C
A6_baseline_n1000,0.034958,0.026131,0.026283,0.034106,0.053311
slstm_mof4_n1000_s42,0.035611,0.023173,0.027762,0.035564,0.055943
trans_mof4_n1000_s42,0.038240,0.021448,0.026901,0.050955,0.053658
lstm_mof4_n1000_s42,0.040583,0.023501,0.030332,0.050070,0.058428
mamba_mof4_n1000_s42,0.108521,0.045886,0.048750,0.149122,0.190325
slstm_mof4_n1000_fl_s42,0.262281,0.015674,0.140804,0.799419,0.093228
A6_baseline_first_last_n1000,0.424305,0.016086,0.119291,1.396589,0.165254
trans_mof4_n1000_fl_s42,0.571101,0.038837,0.219335,1.766314,0.259917
lstm_mof4_n1000_fl_s42,0.698185,0.017392,0.110253,2.556547,0.108547
mamba_mof4_n1000_fl_s42,2000522.033151,1000000.034196,1060249.585267,1211250.719411,4730587.793729
