run,nrmse,Glc,SugarP,PEP,Pyr,Lac,ATP,NAD,NADH
A6_baseline_n100,0.102193,0.059411,0.077790,0.289954,0.079699,0.079113,0.034166,0.029958,0.167454
mamba_glyc8_n100_s42,0.103844,0.056370,0.068981,0.255656,0.085375,0.097356,0.029524,0.028156,0.209336
lstm_glyc8_n100_s42,0.106138,0.055339,0.079801,0.263607,0.092494,0.089182,0.036114,0.028779,0.203792
trans_glyc8_n100_s42,0.110422,0.049428,0.047769,0.395089,0.081993,0.091419,0.032257,0.027216,0.158209
mamba_glyc8_n100_fl_s42,0.512213,0.032583,0.164664,3.052512,0.312796,0.285634,0.102375,0.022885,0.124255
trans_glyc8_n100_fl_s42,0.551320,0.029011,0.126687,3.460819,0.232115,0.347172,0.104842,0.019801,0.090115
lstm_glyc8_n100_fl_s42,0.674922,0.035209,0.141888,4.432729,0.379451,0.127397,0.104448,0.023457,0.154797
A6_baseline_first_last_n100,0.678784,0.027777,0.187656,4.410299,0.365064,0.217456,0.097372,0.020393,0.104256
